matricula,modelo_id,ano_fabricacao,data_ultima_revisao,total_horas_voo,ativa
JA-7750G,647,2009,2025-11-02,63323,True
VH-7173G,64,2017,2025-04-21,41979,True
N-8444E,465,2017,2025-09-08,46686,True
B-6463T,601,1994,2024-07-16,45259,True
TC-9180S,502,2004,2025-04-04,3739,True
JA-8154Y,523,2010,2024-10-21,69143,True
TC-4496V,793,2009,2025-02-05,16630,True
F-3367N,545,2019,2024-08-07,53713,True
PR-7636K,25,2010,2025-02-06,51882,True
TC-5787Y,362,2013,2025-06-16,12697,False
TC-4999Z,610,2024,2025-02-08,16072,True
G-6344D,89,2013,2025-08-31,72719,True
PR-1150P,74,2022,2025-02-21,57459,True
EC-7574A,844,1995,2024-08-24,24393,True
F-3602U,120,2012,2024-12-15,53209,True
HL-4373F,62,2014,2026-04-06,6365,True
TC-1233Y,99,2015,2025-08-28,63105,True
PR-5724I,253,2011,2026-01-18,19945,True
TC-9139Z,129,1994,2026-01-09,79250,True
PU-7431C,596,1990,2026-01-14,17169,True
PP-8236W,108,1992,2024-07-05,62107,True
PP-5672O,375,1998,2025-08-14,15784,True
PS-685Z,208,2009,2025-11-27,66678,True
B-1106K,420,2006,2025-04-06,26784,True
TC-1437O,141,1995,2025-05-13,7525,True
PU-6573G,790,1994,2024-08-17,9324,True
G-7552A,668,1994,2025-10-06,74233,True
F-3528L,21,2010,2025-11-25,39440,True
N-3205D,561,1996,2026-02-01,29143,True
PP-5982J,924,2018,2025-11-04,466,True
EC-9605P,198,2006,2026-02-16,13543,True
VH-450K,285,1990,2024-06-12,58927,True
G-4264Y,907,2020,2025-10-30,14361,True
HL-6401W,134,2007,2025-07-04,25148,True
JA-1912G,91,2008,2024-06-08,43652,True
PS-4711R,666,1990,2024-06-03,61409,True
B-469O,783,2024,2025-12-07,32794,True
N-8587I,338,2024,2024-12-24,39494,True
PP-2747O,738,2020,2025-10-05,49657,True
PP-1669R,56,2017,2026-06-02,56856,True
PP-5600F,460,2002,2025-03-03,37188,True
PU-5848D,730,1992,2025-07-06,53160,True
PU-2455C,751,1990,2025-11-23,72964,True
G-3517X,284,2008,2025-06-12,26201,True
D-1784A,700,2023,2026-05-02,33580,True
D-5766I,190,2004,2024-10-22,60319,True
N-3552W,265,2019,2024-12-30,16456,True
F-6971Q,634,2022,2024-10-01,25406,True
TC-5547Y,227,2011,2025-10-26,3442,True
PP-7428O,268,2015,2024-10-15,75905,False
PS-8584I,504,1997,2025-06-12,28799,True
TC-255K,541,2021,2026-03-30,64365,True
PP-2764F,808,1995,2025-11-07,20992,True
