nome,codigo_iata,codigo_icao,cidade_id,latitude,longitude,altitude_metros,fuso_horario,ativo
Aeroporto Ribeiro,AAA,AAAA,504,-78.441483,4.821056,4105,Pacific/Auckland,True
Aeroporto Correia do Galho,AAB,AAAB,989,-66.821784,-17.909559,4473,Africa/Cairo,True
Aeroporto Vargas de Novaes,AAC,AAAC,338,28.307607,170.111205,2376,America/Chicago,True
Aeroporto Pimenta,AAD,AAAD,51,-20.804458,-152.26741,1637,America/Mexico_City,True
Aeroporto Duarte das Pedras,AAE,AAAE,590,25.638087,-35.706942,3830,America/Toronto,True
Aeroporto Camargo do Campo,AAF,AAAF,614,6.566427,133.142551,2220,Asia/Dubai,False
Aeroporto Aparecida,AAG,AAAG,696,-31.577887,-25.782716,3635,America/Bogota,True
Aeroporto Cavalcanti,AAH,AAAH,794,53.420357,-110.59281,4436,Europe/Madrid,True
Aeroporto Costa,AAI,AAAI,877,21.761188,150.598353,1262,Europe/Berlin,True
Aeroporto Mendonça,AAJ,AAAJ,123,-80.874848,15.481169,1152,Asia/Kolkata,True
Aeroporto Brito,AAK,AAAK,411,-66.166475,-144.375677,2643,Asia/Shanghai,True
Aeroporto Oliveira,AAL,AAAL,751,-9.068654,2.364272,2275,Asia/Tokyo,True
Aeroporto Ribeiro do Amparo,AAM,AAAM,950,4.092933,-36.505003,2685,Asia/Seoul,True
Aeroporto Aragão da Praia,AAN,AAAN,910,-1.164157,-144.044602,1410,Europe/Rome,True
Aeroporto Pereira,AAO,AAAO,282,-88.970244,-161.170878,4290,Asia/Singapore,True
Aeroporto Albuquerque,AAP,AAAP,806,55.673096,111.008385,1087,Europe/Lisbon,True
Aeroporto Rezende,AAQ,AAAQ,366,-77.167599,-42.258773,2091,Asia/Tokyo,True
Aeroporto Barros de Martins,AAR,AAAR,180,70.51934,130.166947,2130,America/Chicago,True
Aeroporto Fonseca,AAS,AAAS,603,20.092022,155.863212,40,Europe/London,True
Aeroporto Freitas do Norte,AAT,AAAT,854,-53.691033,10.542121,4377,Asia/Kolkata,False
Aeroporto Moura do Norte,AAU,AAAU,795,-47.991383,-65.42013,3849,America/New_York,True
Aeroporto da Rosa,AAV,AAAV,464,-86.421626,-91.745854,1589,America/New_York,True
Aeroporto Cunha,AAW,AAAW,306,55.780255,-83.598782,1738,Pacific/Auckland,True
Aeroporto Brito,AAX,AAAX,63,-58.795475,107.032901,2726,America/Toronto,False
Aeroporto Nascimento,AAY,AAAY,627,42.459206,-99.598019,2277,America/Toronto,True
Aeroporto Correia do Oeste,AAZ,AAAZ,276,30.235217,-175.638244,3549,Africa/Cairo,True
Aeroporto Nunes,ABA,AABA,622,-4.386529,-5.475263,3989,Europe/London,True
Aeroporto Novais,ABB,AABB,345,88.205875,19.885922,897,Europe/Berlin,True
Aeroporto Souza do Campo,ABC,AABC,625,-41.345676,-175.254294,2603,America/New_York,True
Aeroporto Rocha dos Dourados,ABD,AABD,363,45.631982,-44.049305,4031,Europe/Lisbon,True
Aeroporto Caldeira da Serra,ABE,AABE,998,87.060552,26.293285,4081,Africa/Cairo,True
Aeroporto Novaes,ABF,AABF,229,13.146694,63.65901,2758,America/Lima,True
Aeroporto Montenegro Alegre,ABG,AABG,780,8.731225,-129.471904,3540,America/Sao_Paulo,True
Aeroporto Nascimento,ABH,AABH,632,-44.824562,-127.030005,362,Europe/Madrid,True
Aeroporto Fogaça de Dias,ABI,AABI,363,74.042563,36.16726,1146,Asia/Tokyo,True
Aeroporto Freitas das Pedras,ABJ,AABJ,626,61.475703,-173.677595,1566,Europe/Lisbon,True
Aeroporto Silveira Alegre,ABK,AABK,233,-72.653573,87.876641,3766,Australia/Sydney,True
Aeroporto Nunes,ABL,AABL,448,-7.150344,39.478489,931,Africa/Johannesburg,True
Aeroporto Garcia,ABM,AABM,526,71.883729,85.613068,4281,America/Toronto,True
Aeroporto Fonseca dos Dourados,ABN,AABN,4,0.154846,91.66126,1057,America/Bogota,True
Aeroporto Gonçalves de Abreu,ABO,AABO,657,3.599949,-37.284557,4213,Europe/Rome,True
Aeroporto da Paz,ABP,AABP,431,-61.348769,52.813022,1800,Europe/Paris,True
Aeroporto Moreira,ABQ,AABQ,440,-84.396965,51.417012,4494,Asia/Dubai,True
Aeroporto da Rosa,ABR,AABR,775,-39.608841,-14.671218,3936,Europe/Lisbon,True
Aeroporto da Rosa,ABS,AABS,215,-72.241743,173.588459,1576,America/Mexico_City,False
Aeroporto Cunha,ABT,AABT,413,-57.277206,32.527975,708,Asia/Shanghai,True
Aeroporto Almeida Paulista,ABU,AABU,832,5.333591,141.668111,739,Asia/Singapore,True
Aeroporto Brito,ABV,AABV,154,-36.917811,-127.194692,3125,Asia/Shanghai,True
Aeroporto Marques,ABW,AABW,577,-33.766331,44.228716,191,Asia/Kolkata,True
