passagem_id,tipo_bagagem_id,peso_kg,codigo_rastreio,status
2260,596,16.55,BAG-00000001,DANIFICADA
2100,984,11.13,BAG-00000002,DESPACHADA
1837,434,12.27,BAG-00000003,EXTRAVIADA
1167,742,9.07,BAG-00000004,EXTRAVIADA
2296,105,18.75,BAG-00000005,DESPACHADA
2398,36,31.66,BAG-00000006,EXTRAVIADA
3701,535,8.37,BAG-00000007,DESPACHADA
2896,522,18.49,BAG-00000008,DESPACHADA
1987,70,11.53,BAG-00000009,EXTRAVIADA
3271,160,28.83,BAG-00000010,ENTREGUE
1126,937,6.44,BAG-00000011,ENTREGUE
1841,67,22.62,BAG-00000012,EM_TRANSITO
1741,253,30.9,BAG-00000013,DESPACHADA
596,418,16.71,BAG-00000014,EM_TRANSITO
3114,276,5.83,BAG-00000015,DANIFICADA
4396,259,2.76,BAG-00000016,EM_TRANSITO
2491,269,10.51,BAG-00000017,EXTRAVIADA
1546,388,11.22,BAG-00000018,EM_TRANSITO
2746,840,8.6,BAG-00000019,DESPACHADA
4148,916,27.74,BAG-00000020,EM_TRANSITO
2004,447,21.91,BAG-00000021,EM_TRANSITO
565,339,6.19,BAG-00000022,ENTREGUE
1858,675,9.48,BAG-00000023,DANIFICADA
803,6,19.38,BAG-00000024,ENTREGUE
3521,253,30.59,BAG-00000025,EXTRAVIADA
17,158,21.61,BAG-00000026,EM_TRANSITO
2174,564,11.66,BAG-00000027,DANIFICADA
2517,832,5.16,BAG-00000028,ENTREGUE
3469,109,17.79,BAG-00000029,EXTRAVIADA
4796,566,23.81,BAG-00000030,EXTRAVIADA
1867,467,10.28,BAG-00000031,DESPACHADA
903,612,28.37,BAG-00000032,DANIFICADA
487,188,10.86,BAG-00000033,EM_TRANSITO
2593,311,20.89,BAG-00000034,EM_TRANSITO
3099,257,19.82,BAG-00000035,DESPACHADA
328,60,5.64,BAG-00000036,ENTREGUE
1988,262,9.06,BAG-00000037,EM_TRANSITO
3287,2,5.38,BAG-00000038,EXTRAVIADA
4495,58,20.99,BAG-00000039,DESPACHADA
2482,501,7.73,BAG-00000040,DESPACHADA
592,443,10.85,BAG-00000041,EXTRAVIADA
3165,910,15.76,BAG-00000042,EXTRAVIADA
3951,229,8.47,BAG-00000043,EXTRAVIADA
1248,419,2.88,BAG-00000044,DANIFICADA
3813,174,27.39,BAG-00000045,DANIFICADA
4316,42,10.26,BAG-00000046,EM_TRANSITO
3963,483,11.73,BAG-00000047,EXTRAVIADA
3786,188,18.3,BAG-00000048,ENTREGUE
4370,787,13.46,BAG-00000049,ENTREGUE
50,654,2.53,BAG-00000050,ENTREGUE
3658,923,6.29,BAG-00000051,EXTRAVIADA
1622,233,25.98,BAG-00000052,DANIFICADA
222,195,6.16,BAG-00000053,ENTREGUE
1047,421,3.53,BAG-00000054,EXTRAVIADA
1305,541,2.39,BAG-00000055,EXTRAVIADA
1920,285,25.46,BAG-00000056,EXTRAVIADA
2558,766,7.36,BAG-00000057,DESPACHADA
1524,882,7.75,BAG-00000058,DANIFICADA
2698,741,5.01,BAG-00000059,DESPACHADA
291,794,15.91,BAG-00000060,DESPACHADA
1168,531,9.37,BAG-00000061,EXTRAVIADA
3103,677,9.25,BAG-00000062,DANIFICADA
835,742,15.27,BAG-00000063,EM_TRANSITO
2125,107,12.89,BAG-00000064,DANIFICADA
137,629,7.07,BAG-00000065,DESPACHADA
3470,513,8.65,BAG-00000066,EXTRAVIADA
2949,309,24.41,BAG-00000067,DESPACHADA
1905,168,8.96,BAG-00000068,DESPACHADA
31,585,18.17,BAG-00000069,DANIFICADA
901,455,4.23,BAG-00000070,DANIFICADA
974,94,16.96,BAG-00000071,EXTRAVIADA
4083,597,3.74,BAG-00000072,ENTREGUE
3079,460,30.9,BAG-00000073,EM_TRANSITO
1721,761,3.13,BAG-00000074,ENTREGUE
4816,324,16.52,BAG-00000075,EXTRAVIADA
4922,322,5.65,BAG-00000076,EM_TRANSITO
415,270,4.03,BAG-00000077,ENTREGUE
3411,628,10.21,BAG-00000078,DANIFICADA
2309,485,13.61,BAG-00000079,ENTREGUE
954,141,4.93,BAG-00000080,DESPACHADA
3325,455,3.87,BAG-00000081,ENTREGUE
4534,639,4.42,BAG-00000082,EXTRAVIADA
318,538,11.27,BAG-00000083,ENTREGUE
4513,745,7.79,BAG-00000084,DANIFICADA
3391,424,5.36,BAG-00000085,EXTRAVIADA
2376,691,6.47,BAG-00000086,EM_TRANSITO
60,502,5.64,BAG-00000087,ENTREGUE
4586,745,6.63,BAG-00000088,ENTREGUE
895,381,6.95,BAG-00000089,ENTREGUE
4057,477,15.96,BAG-00000090,EXTRAVIADA
4246,11,11.1,BAG-00000091,EM_TRANSITO
911,746,20.71,BAG-00000092,EM_TRANSITO
3696,518,9.47,BAG-00000093,EXTRAVIADA
3204,685,4.38,BAG-00000094,DESPACHADA
996,544,15.4,BAG-00000095,ENTREGUE
1149,660,8.74,BAG-00000096,EM_TRANSITO
706,16,6.2,BAG-00000097,DESPACHADA
2319,855,4.46,BAG-00000098,ENTREGUE
1721,53,19.01,BAG-00000099,EXTRAVIADA
4397,259,2.7,BAG-00000100,ENTREGUE
1607,193,9.49,BAG-00000101,DANIFICADA
1047,452,6.39,BAG-00000102,EXTRAVIADA
3219,288,22.33,BAG-00000103,EM_TRANSITO
1650,703,10.04,BAG-00000104,EM_TRANSITO
736,350,2.22,BAG-00000105,DANIFICADA
3560,497,14.04,BAG-00000106,ENTREGUE
3129,406,27.13,BAG-00000107,DANIFICADA
3410,302,6.6,BAG-00000108,ENTREGUE
2990,985,5.99,BAG-00000109,DANIFICADA
4046,919,3.33,BAG-00000110,ENTREGUE
4111,659,7.17,BAG-00000111,DANIFICADA
2238,57,12.19,BAG-00000112,DANIFICADA
4981,86,7.21,BAG-00000113,DANIFICADA
4244,733,22.76,BAG-00000114,EM_TRANSITO
1916,554,10.67,BAG-00000115,EXTRAVIADA
4072,307,5.11,BAG-00000116,DANIFICADA
3641,601,6.63,BAG-00000117,ENTREGUE
1237,997,20.4,BAG-00000118,EXTRAVIADA
4977,351,19.52,BAG-00000119,DESPACHADA
2340,876,14.8,BAG-00000120,DANIFICADA
1366,9,16.78,BAG-00000121,EXTRAVIADA
2644,73,29.04,BAG-00000122,ENTREGUE
4294,832,2.71,BAG-00000123,DESPACHADA
4698,33,26.35,BAG-00000124,EM_TRANSITO
1623,575,4.46,BAG-00000125,ENTREGUE
3441,723,5.73,BAG-00000126,EM_TRANSITO
3814,2,4.19,BAG-00000127,EXTRAVIADA
3837,565,15.8,BAG-00000128,DESPACHADA
877,341,7.15,BAG-00000129,DESPACHADA
2833,253,23.92,BAG-00000130,EM_TRANSITO
