nome,descricao,nivel_acesso,salario_min,salario_max
Piloto Comercial,Cargo de piloto comercial na operação aeroportuária.,10,11033.94,17223.5
Piloto Executivo,Cargo de piloto executivo na operação aeroportuária.,1,11137.4,21252.17
Copiloto,Cargo de copiloto na operação aeroportuária.,3,4801.18,13354.42
Comissário de Bordo,Cargo de comissário de bordo na operação aeroportuária.,7,2388.68,12839.73
Comissário Chefe,Cargo de comissário chefe na operação aeroportuária.,8,7361.52,26846.76
Chefe de Cabine,Cargo de chefe de cabine na operação aeroportuária.,10,13666.31,27141.9
Engenheiro de Voo,Cargo de engenheiro de voo na operação aeroportuária.,5,11228.72,25887.27
Mecânico de Aeronaves,Cargo de mecânico de aeronaves na operação aeroportuária.,4,12425.23,13889.07
Técnico de Manutenção,Cargo de técnico de manutenção na operação aeroportuária.,5,14521.46,19094.79
Controlador de Tráfego Aéreo,Cargo de controlador de tráfego aéreo na operação aeroportuária.,8,12534.6,32455.51
Despachante de Voo,Cargo de despachante de voo na operação aeroportuária.,1,13355.77,30228.23
Gerente de Operações,Cargo de gerente de operações na operação aeroportuária.,7,9266.28,23622.27
Supervisor de Pista,Cargo de supervisor de pista na operação aeroportuária.,4,11302.4,26410.39
Agente de Check-in,Cargo de agente de check-in na operação aeroportuária.,5,6732.45,19095.38
Agente de Embarque,Cargo de agente de embarque na operação aeroportuária.,8,12669.28,24016.5
Agente de Segurança,Cargo de agente de segurança na operação aeroportuária.,6,10561.82,18615.99
Inspetor de Segurança,Cargo de inspetor de segurança na operação aeroportuária.,9,9029.97,16123.48
Coordenador de Logística,Cargo de coordenador de logística na operação aeroportuária.,6,7291.02,19315.04
Analista de Operações,Cargo de analista de operações na operação aeroportuária.,6,8077.29,15678.6
Diretor de Terminal,Cargo de diretor de terminal na operação aeroportuária.,5,3919.23,17699.73
Gerente de Manutenção,Cargo de gerente de manutenção na operação aeroportuária.,8,10784.24,19532.93
Supervisor de Handling,Cargo de supervisor de handling na operação aeroportuária.,7,3123.79,8934.6
Técnico de Radar,Cargo de técnico de radar na operação aeroportuária.,3,6326.45,14141.16
Operador de Equipamentos,Cargo de operador de equipamentos na operação aeroportuária.,8,7859.99,19105.01
Motorista de Pista,Cargo de motorista de pista na operação aeroportuária.,3,13566.63,21092.25
Gerente de Recursos Humanos,Cargo de gerente de recursos humanos na operação aeroportuária.,3,9784.3,21048.31
Analista Financeiro,Cargo de analista financeiro na operação aeroportuária.,3,13064.27,24964.43
Auditor Operacional,Cargo de auditor operacional na operação aeroportuária.,4,12720.91,21251.56
Gerente de Qualidade,Cargo de gerente de qualidade na operação aeroportuária.,7,13449.4,33268.97
Instrutor de Voo,Cargo de instrutor de voo na operação aeroportuária.,9,2545.72,5518.21
Meteorologista Aeronáutico,Cargo de meteorologista aeronáutico na operação aeroportuária.,1,5311.32,16769.84
Engenheiro Aeronáutico,Cargo de engenheiro aeronáutico na operação aeroportuária.,3,11616.25,25612.45
Administrador de Sistemas,Cargo de administrador de sistemas na operação aeroportuária.,6,8359.34,15543.6
Analista de TI,Cargo de analista de ti na operação aeroportuária.,6,9129.86,17634.11
Gerente de TI,Cargo de gerente de ti na operação aeroportuária.,7,4847.93,12519.48
Bombeiro Aeroportuário,Cargo de bombeiro aeroportuário na operação aeroportuária.,7,10941.41,30712.47
Paramédico Aeroportuário,Cargo de paramédico aeroportuário na operação aeroportuária.,4,10326.1,19945.53
Oficial de Segurança da Aviação,Cargo de oficial de segurança da aviação na operação aeroportuária.,4,11310.62,29281.11
Fiscal de Alfândega,Cargo de fiscal de alfândega na operação aeroportuária.,9,12399.16,22808.02
Gerente Comercial,Cargo de gerente comercial na operação aeroportuária.,2,11034.19,17858.75
Piloto Comercial Júnior,Cargo de piloto comercial júnior na operação aeroportuária.,7,5937.15,10912.79
Piloto Comercial Pleno,Cargo de piloto comercial pleno na operação aeroportuária.,2,14370.16,18999.28
Piloto Comercial Sénior,Cargo de piloto comercial sénior na operação aeroportuária.,1,2404.27,5704.71
Piloto Comercial Master,Cargo de piloto comercial master na operação aeroportuária.,3,12759.54,26688.69
Piloto Comercial Especialista,Cargo de piloto comercial especialista na operação aeroportuária.,2,5294.64,24363.88
Piloto Comercial Setor A,Cargo de piloto comercial setor a na operação aeroportuária.,7,14283.37,27853.49
Piloto Comercial Setor B,Cargo de piloto comercial setor b na operação aeroportuária.,1,11071.64,17775.73
Piloto Comercial Setor C,Cargo de piloto comercial setor c na operação aeroportuária.,7,6873.91,13645.86
Piloto Comercial Setor D,Cargo de piloto comercial setor d na operação aeroportuária.,10,9665.98,19756.33
Piloto Comercial Setor E,Cargo de piloto comercial setor e na operação aeroportuária.,10,9713.37,23616.6
Piloto Comercial Nível 1,Cargo de piloto comercial nível 1 na operação aeroportuária.,1,8499.93,16178.37
Piloto Comercial Nível 2,Cargo de piloto comercial nível 2 na operação aeroportuária.,5,11108.21,28470.53
Piloto Comercial Nível 3,Cargo de piloto comercial nível 3 na operação aeroportuária.,7,11787.93,27413.89
Piloto Comercial Nível 4,Cargo de piloto comercial nível 4 na operação aeroportuária.,7,10951.68,23736.08
Piloto Comercial Nível 5,Cargo de piloto comercial nível 5 na operação aeroportuária.,6,14338.59,28350.71
Piloto Comercial Nível 6,Cargo de piloto comercial nível 6 na operação aeroportuária.,1,6939.57,26232.17
