nome,descricao,multiplicador_preco,bagagem_inclusa_kg,prioridade_embarque
ECONOMICA_LIGHT,Tarifa economica light.,0.8,0,5
ECONOMICA_STANDARD,Tarifa economica standard.,1.0,23,4
ECONOMICA_PLUS,Tarifa economica plus.,1.2,30,3
ECONOMICA_FLEX,Tarifa economica flex.,1.4,30,3
EXECUTIVA_LIGHT,Tarifa executiva light.,2.0,32,2
EXECUTIVA_STANDARD,Tarifa executiva standard.,2.5,40,2
EXECUTIVA_FLEX,Tarifa executiva flex.,3.0,40,1
PRIMEIRA_CLASSE,Tarifa primeira classe.,4.0,50,1
PRIMEIRA_FLEX,Tarifa primeira flex.,5.0,50,1
PREMIUM_ECONOMY,Tarifa premium economy.,1.6,25,3
BUSINESS_SAVER,Tarifa business saver.,2.2,35,2
BUSINESS_FULL,Tarifa business full.,3.5,45,1
PROMO_BASICA,Tarifa promo basica.,0.6,0,5
PROMO_ESPECIAL,Tarifa promo especial.,0.7,15,4
CORPORATE,Tarifa corporate.,1.8,30,2
ESTUDANTE,Tarifa estudante.,0.75,20,4
MILITAR,Tarifa militar.,0.85,25,3
IDOSO,Tarifa idoso.,0.9,23,4
FAMILIA,Tarifa familia.,1.1,25,3
GRUPO,Tarifa grupo.,0.95,20,4
ECONOMICA_LIGHT_1,Variante 1 da tarifa economica light.,1.05,4,4
ECONOMICA_STANDARD_1,Variante 1 da tarifa economica standard.,1.25,19,3
ECONOMICA_PLUS_1,Variante 1 da tarifa economica plus.,1.1,39,4
ECONOMICA_FLEX_1,Variante 1 da tarifa economica flex.,1.66,26,4
EXECUTIVA_LIGHT_1,Variante 1 da tarifa executiva light.,1.92,37,3
EXECUTIVA_STANDARD_1,Variante 1 da tarifa executiva standard.,2.25,47,2
EXECUTIVA_FLEX_1,Variante 1 da tarifa executiva flex.,2.82,40,1
PRIMEIRA_CLASSE_1,Variante 1 da tarifa primeira classe.,4.06,55,3
PRIMEIRA_FLEX_1,Variante 1 da tarifa primeira flex.,4.76,60,3
PREMIUM_ECONOMY_1,Variante 1 da tarifa premium economy.,1.74,23,2
BUSINESS_SAVER_1,Variante 1 da tarifa business saver.,1.96,32,1
BUSINESS_FULL_1,Variante 1 da tarifa business full.,3.48,52,1
PROMO_BASICA_1,Variante 1 da tarifa promo basica.,0.66,0,2
PROMO_ESPECIAL_1,Variante 1 da tarifa promo especial.,0.6,19,4
CORPORATE_1,Variante 1 da tarifa corporate.,1.91,26,2
ESTUDANTE_1,Variante 1 da tarifa estudante.,0.55,15,4
MILITAR_1,Variante 1 da tarifa militar.,0.98,31,2
IDOSO_1,Variante 1 da tarifa idoso.,0.79,26,1
FAMILIA_1,Variante 1 da tarifa familia.,1.21,20,1
GRUPO_1,Variante 1 da tarifa grupo.,1.05,20,4
ECONOMICA_LIGHT_2,Variante 2 da tarifa economica light.,1.04,6,1
ECONOMICA_STANDARD_2,Variante 2 da tarifa economica standard.,0.71,31,1
ECONOMICA_PLUS_2,Variante 2 da tarifa economica plus.,0.95,28,3
ECONOMICA_FLEX_2,Variante 2 da tarifa economica flex.,1.23,30,3
EXECUTIVA_LIGHT_2,Variante 2 da tarifa executiva light.,2.28,35,4
EXECUTIVA_STANDARD_2,Variante 2 da tarifa executiva standard.,2.58,45,1
EXECUTIVA_FLEX_2,Variante 2 da tarifa executiva flex.,2.96,36,4
PRIMEIRA_CLASSE_2,Variante 2 da tarifa primeira classe.,3.76,59,2
PRIMEIRA_FLEX_2,Variante 2 da tarifa primeira flex.,5.21,59,5
PREMIUM_ECONOMY_2,Variante 2 da tarifa premium economy.,1.63,31,5
BUSINESS_SAVER_2,Variante 2 da tarifa business saver.,2.3,30,2
BUSINESS_FULL_2,Variante 2 da tarifa business full.,3.6,42,1
PROMO_BASICA_2,Variante 2 da tarifa promo basica.,0.31,7,3
PROMO_ESPECIAL_2,Variante 2 da tarifa promo especial.,0.97,16,3
CORPORATE_2,Variante 2 da tarifa corporate.,1.96,25,2
ESTUDANTE_2,Variante 2 da tarifa estudante.,0.86,18,1
