nome,pais_id,estado_provincia,populacao,latitude,longitude
Azevedo,407,Paraná,3332421,-76.320634,68.62119
da Paz,643,Pará,11701957,49.046559,126.105566
Vargas,615,Bahia,13363475,87.091983,101.748725
Freitas das Flores,356,Paraíba,11103486,-23.297242,2.145884
Garcia de Minas,350,,7052416,58.019565,-142.006007
Rezende,984,Mato Grosso do Sul,14963146,59.167316,74.631112
Cavalcanti,446,Piauí,8758457,83.785272,-82.770337
Moura Grande,828,Santa Catarina,13001326,-2.970449,-23.193183
Abreu,749,São Paulo,5412373,63.308369,119.063167
da Rosa,89,Paraíba,7568202,-46.104581,-12.704952
Nascimento das Flores,625,Tocantins,5648798,-84.834,126.343021
da Cruz,187,Paraíba,5957975,53.609824,-57.478016
Cassiano Paulista,902,Distrito Federal,14770751,-40.271656,-176.345599
Andrade,971,Sergipe,4054282,39.61344,-4.111975
Pimenta do Sul,777,Espírito Santo,7992516,26.262522,-3.304319
Azevedo,812,,4941453,-50.112648,69.043376
Peixoto,314,Alagoas,6196135,-4.813112,11.131895
Peixoto de Rocha,436,Roraima,9238986,-30.457567,73.027779
da Cruz,278,Santa Catarina,3872786,-68.281941,-110.669654
Guerra,123,Paraíba,12792419,34.22944,-111.04525
Nogueira,757,Distrito Federal,12161519,16.125643,93.674842
Carvalho,612,Pernambuco,1691548,59.873105,-73.351273
da Conceição Verde,370,Mato Grosso,242370,37.443327,-134.430134
da Costa da Mata,47,Bahia,9288822,-37.415404,159.872261
Jesus,654,Maranhão,8240577,-71.534224,-175.584455
Araújo da Prata,292,Rio de Janeiro,7394840,-28.672932,167.579152
Pires,259,Rondônia,8019965,-69.464315,-156.476363
Novais do Amparo,504,,10565346,33.561183,-125.378277
Ferreira,831,Rio Grande do Sul,5102514,-74.667436,-90.651256
Viana do Galho,572,Mato Grosso,10177322,17.302832,42.630607
Jesus Grande,795,Maranhão,7563378,73.530788,-72.952872
Cirino da Prata,603,Paraná,5128430,12.353305,-158.31709
Câmara,984,Maranhão,12801605,-52.598177,-104.03093
Martins,677,,4029269,-58.713561,-152.976647
Novais,3,Pará,11570728,16.886015,-75.146656
Novais do Galho,238,Bahia,4748227,36.53776,-16.548722
da Cruz Paulista,704,Distrito Federal,4443490,51.809045,45.020883
Ramos de Minas,678,Paraíba,3323855,-13.474986,16.042456
Borges da Prata,664,Santa Catarina,4461573,58.793609,-154.292459
Aragão,170,Goiás,9988182,44.81239,24.914538
Rocha do Norte,296,Amapá,7868447,33.962038,71.904127
Teixeira,966,Rio de Janeiro,9064387,-1.116861,-151.040933
Mendes,41,Distrito Federal,12328434,-31.982115,-89.867555
da Rosa do Sul,94,Distrito Federal,11317849,60.472551,27.071679
Sousa,974,,12835550,31.010685,-82.976031
Souza,42,São Paulo,2944212,-5.309852,54.543416
da Cruz de Sampaio,939,Rio Grande do Norte,9825201,-11.540702,113.12818
Gonçalves,993,,5842817,-16.497343,-64.419028
Novaes,108,Mato Grosso,5538187,-15.903884,-1.631152
Garcia dos Dourados,679,Piauí,13654373,46.889959,-166.789033
das Neves Paulista,91,Mato Grosso do Sul,5428634,-69.134112,98.117253
Martins de Brito,886,Sergipe,24311,28.37887,15.333694
Teixeira de Dias,424,,8702969,-24.879715,92.319535
Freitas,641,Mato Grosso,870901,-53.359517,17.71907
Aparecida Verde,950,Espírito Santo,14783153,35.685005,-136.28661
Almeida,997,Goiás,13415259,-46.926457,-122.983861
da Rocha Grande,565,,6849947,-73.222344,177.21257
Farias,935,Espírito Santo,1975754,26.587744,-124.570395
Nunes de Goiás,956,Paraná,8542455,36.974093,-30.423477
da Cunha do Amparo,495,Santa Catarina,4094126,-7.778435,-127.928891
Marques de Cavalcante,196,Santa Catarina,8531867,44.332658,-130.856996
Cavalcante Grande,72,Santa Catarina,13259104,63.794228,-57.644912
Cirino de Nogueira,807,Rio Grande do Sul,13771535,-89.538253,81.378354
Moura,858,Alagoas,11076968,-1.864738,-126.505649
Rios,552,Alagoas,5582416,9.345135,15.634823
Jesus,467,Bahia,14594495,-56.042573,71.099434
Azevedo,586,Roraima,14366514,49.598006,-164.286972
Albuquerque,763,Distrito Federal,13618182,-21.378394,175.829041
Freitas de Araújo,812,Rio Grande do Norte,2556903,-0.840843,-166.67294
Ribeiro de Mendonça,515,Acre,5574946,66.546056,134.708535
Nascimento,451,,7670981,-87.237432,-128.10405
Albuquerque do Sul,892,Pernambuco,2594751,-76.530915,101.349105
Nascimento da Mata,272,Acre,11626654,-18.453002,-151.086485
Cavalcanti do Campo,337,Amazonas,14422369,6.052016,163.490253
da Costa,642,Distrito Federal,12745648,-2.169453,14.765765
Fogaça Paulista,633,,10594124,33.191923,-76.543559
Barros da Praia,233,Minas Gerais,7285833,86.100791,93.733089
Nunes de da Cruz,721,Roraima,7448690,-60.054338,-72.192211
da Rosa,30,,13362070,-79.898539,-50.953197
Rezende,442,Rio Grande do Sul,8916492,-15.830685,65.448134
Borges,185,Minas Gerais,1329869,19.708522,-42.284052
Garcia da Prata,700,Paraná,9788753,-64.23881,-13.986031
Porto,261,Acre,11192730,-88.308462,109.667908
Barros,923,Paraná,9175395,-61.564388,-20.977278
Ramos Alegre,354,Rio de Janeiro,5023975,25.008966,-27.248782
Moura,257,Alagoas,5073760,-54.14094,-41.51043
Cunha,495,Roraima,6403231,12.946085,26.932295
da Mata de Aparecida,717,Amapá,13930719,28.481367,-81.187063
Nogueira Verde,580,Rondônia,13062902,44.040391,-162.34407
Cavalcanti,621,Mato Grosso,13977718,72.747952,-76.970105
Costela,819,Rio de Janeiro,13459185,-26.582228,49.182436
Sá,636,Tocantins,12681483,39.767108,57.305355
Barbosa da Mata,859,Ceará,1635140,72.612667,52.682619
Nunes,317,Tocantins,564763,14.323285,83.649516
Rocha da Prata,93,Mato Grosso,5486437,44.546556,-116.769575
Sá Grande,136,Sergipe,14709568,84.868125,11.106855
Montenegro,936,Santa Catarina,2765597,-43.745385,116.888333
Aragão do Campo,494,Pará,4956651,44.380683,-58.062509
Barbosa,118,Mato Grosso,1268313,-64.663737,167.940075
Vasconcelos Alegre,881,Acre,11319658,86.389604,168.217109
Viana dos Dourados,824,Paraná,1520030,52.322754,-174.989284
Fogaça,550,Piauí,6188841,31.109109,62.042687
Lopes da Serra,599,Rondônia,10718078,79.252541,-140.995403
Barros da Mata,240,Sergipe,10399271,69.162272,22.106658
Silva,938,Amapá,10870803,-78.620933,116.587927
da Mata,932,Bahia,10897430,-16.506746,-129.680275
Silva Grande,969,,8269869,-69.098313,-95.471988
Dias da Praia,551,Amazonas,7615879,-23.217927,161.777077
Abreu,714,Maranhão,7036780,15.721262,81.575694
Fonseca de Teixeira,907,Goiás,1666307,60.064755,41.634797
Cardoso,962,Amapá,553888,34.250519,-101.782914
Lopes,456,Paraíba,14357072,-24.716513,173.133979
Caldeira do Sul,377,Amapá,10823398,-25.438709,-36.669729
Novaes de Minas,195,Rio Grande do Norte,14232635,58.354395,-146.997567
Gomes do Sul,218,Maranhão,10023446,84.796796,-161.791736
Gomes de Minas,342,Santa Catarina,2117652,51.656058,-106.125993
Oliveira,850,Pernambuco,3480523,15.548955,112.699073
Rodrigues,239,Minas Gerais,2480548,51.955876,34.553389
Carvalho,284,Goiás,2432461,87.754915,14.477564
da Mata do Amparo,818,Bahia,11095706,65.96062,-132.550837
Cavalcante,367,Pará,3996829,15.993526,-174.31881
Leão da Mata,272,,12448964,-14.2271,-139.08625
Viana de Barbosa,66,Mato Grosso do Sul,13057959,-24.832985,33.719766
da Cruz do Amparo,463,Rio Grande do Norte,10324780,-82.194293,101.961719
Marques,888,Amazonas,5065517,-7.552346,167.049426
da Rosa,63,Acre,14220310,-17.708894,66.995099
Farias das Flores,503,Sergipe,7446741,-76.771671,-150.915428
Macedo Alegre,623,Pará,2122143,-40.49712,47.907621
da Rosa,562,Mato Grosso,6395515,89.032996,11.000461
Mendes,465,Mato Grosso,7222547,-72.147877,72.640591
Gonçalves,874,Mato Grosso,14730466,48.413291,79.50237
Sousa do Amparo,221,Rio de Janeiro,14904694,-48.871157,-57.984617
Duarte,465,Minas Gerais,12245866,-72.884549,-26.364958
Viana das Flores,682,Mato Grosso do Sul,2565856,33.627786,-9.263561
Nunes,94,Distrito Federal,1569141,-12.262227,88.052029
Rodrigues,382,São Paulo,9339352,-79.203424,164.384865
Siqueira,576,Paraíba,2055700,-16.054446,134.498654
Macedo,964,Sergipe,14569169,74.851861,-161.479411
Sales de Minas,295,Tocantins,5904644,-71.351898,2.668517
Rocha do Amparo,159,Bahia,3767204,62.509473,-53.958962
da Costa Paulista,570,Rondônia,12799399,-39.857722,-98.582726
Silva,440,Pará,12880381,57.316835,40.886381
Barbosa dos Dourados,659,Rio Grande do Norte,10222239,77.235172,118.605884
Pacheco de Guerra,274,,4589716,36.485779,-68.765512
Nogueira do Norte,348,Sergipe,3048480,66.575287,23.875594
Sampaio da Prata,411,,12436397,23.970962,-168.963445
Caldeira,765,São Paulo,6316494,-14.430151,-57.277447
Ribeiro,379,Rondônia,5447241,49.830412,24.33368
Cavalcante do Norte,87,Rio de Janeiro,2615197,-61.666219,42.421745
Sá Alegre,691,,7439202,29.148965,-5.161786
Caldeira do Sul,453,Amazonas,3621647,45.889766,-139.025697
Câmara do Galho,441,Santa Catarina,11383608,32.127526,-4.812209
Machado,684,Mato Grosso do Sul,3704685,-18.852589,35.756985
Martins Verde,8,Roraima,3548918,48.122915,95.097922
Ferreira,297,Acre,134686,-0.470641,-24.964196
Caldeira de da Rocha,133,Pará,11810644,-48.580071,21.140484
Camargo,685,Tocantins,1214226,-18.527189,87.134878
Ferreira,447,,1311317,65.179802,27.273298
Fernandes dos Dourados,588,Sergipe,10744795,-14.815087,-138.537586
Moreira,22,Paraná,2888553,54.237988,42.525095
Melo do Campo,852,Paraíba,6075880,-74.136621,124.01437
Dias de Azevedo,250,Maranhão,6723433,4.313258,-37.523989
Santos,318,Amazonas,3722362,-30.047648,-119.472225
Fernandes,523,Rio Grande do Sul,8907071,1.791371,146.132183
Rocha,358,Sergipe,13744677,26.179736,-126.831659
Sousa,106,Espírito Santo,3314671,-58.770176,-124.966876
Novaes,778,Ceará,2977018,81.232585,46.061558
Novais das Pedras,476,Paraíba,12753623,14.304256,65.208052
Guerra,904,Rio Grande do Sul,10663537,87.575751,-63.645033
Cirino,995,Rio Grande do Sul,2537644,-10.842693,-11.18841
Gonçalves do Sul,647,Santa Catarina,4613259,16.455556,-53.3008
Machado,76,Rio de Janeiro,7586856,-83.230696,-47.254464
Gomes do Sul,294,,14504709,85.926336,-147.493259
Costela,609,Goiás,7768013,14.459293,163.523332
Oliveira,757,Amazonas,7550279,73.628992,25.796407
