funcionario_id,voo_id,funcao,data_atribuicao,confirmado
4287,666,ENGENHEIRO_VOO,2025-09-25,True
1622,4200,COMISSARIO_CHEFE,2025-06-15,True
3151,2097,COMISSARIO,2025-10-03,True
402,998,COMISSARIO_CHEFE,2025-08-27,True
3842,4174,ENGENHEIRO_VOO,2026-01-06,False
1404,4748,COMISSARIO_CHEFE,2026-04-26,False
3625,3208,COPILOTO,2026-01-02,False
4359,4950,COPILOTO,2026-02-11,True
2587,3141,ENGENHEIRO_VOO,2026-05-20,True
4693,3368,COPILOTO,2026-02-26,False
4696,2715,MECANICO_BORDO,2025-11-15,True
3611,4490,ENGENHEIRO_VOO,2026-03-29,False
4613,3044,COMISSARIO,2025-10-08,True
4158,3192,COMANDANTE,2025-10-19,True
4875,1131,MECANICO_BORDO,2025-10-10,True
3149,2868,COPILOTO,2025-07-17,False
2844,2844,COMISSARIO,2026-05-04,True
3285,679,ENGENHEIRO_VOO,2025-06-07,True
1922,3707,MECANICO_BORDO,2025-11-01,True
873,104,COMISSARIO_CHEFE,2025-07-09,False
4682,2492,ENGENHEIRO_VOO,2025-06-30,True
899,2190,COMISSARIO,2025-11-17,False
3157,2743,ENGENHEIRO_VOO,2025-09-02,True
4991,46,MECANICO_BORDO,2026-01-06,True
3701,1026,ENGENHEIRO_VOO,2026-01-10,True
1648,2925,COMISSARIO_CHEFE,2025-09-21,True
3832,2723,COMISSARIO,2026-04-17,False
2790,745,ENGENHEIRO_VOO,2026-02-22,True
2755,1636,MECANICO_BORDO,2025-09-14,True
4479,1472,COMISSARIO_CHEFE,2026-01-12,True
4629,2801,COMANDANTE,2026-04-07,True
2929,727,COPILOTO,2026-04-11,True
4835,1368,COMISSARIO_CHEFE,2026-03-21,True
4499,3529,MECANICO_BORDO,2025-09-29,True
39,431,COMANDANTE,2025-07-17,True
4635,3395,COPILOTO,2025-09-05,True
368,4266,ENGENHEIRO_VOO,2026-02-09,True
1914,3214,COMISSARIO,2025-06-02,True
632,664,MECANICO_BORDO,2026-04-30,True
850,2297,COPILOTO,2025-08-09,False
1478,2945,MECANICO_BORDO,2025-09-21,True
4960,2554,MECANICO_BORDO,2026-04-27,True
434,446,MECANICO_BORDO,2026-01-21,False
381,789,MECANICO_BORDO,2026-05-22,True
4861,4858,COPILOTO,2025-08-20,True
3814,4101,COPILOTO,2025-11-28,True
3317,3635,MECANICO_BORDO,2026-02-26,True
3345,3310,COPILOTO,2025-07-24,True
1037,4678,COPILOTO,2026-05-12,True
776,2578,COMANDANTE,2026-03-28,False
1754,1036,COMISSARIO_CHEFE,2025-11-13,True
3622,2025,COMISSARIO_CHEFE,2025-07-10,True
3523,4908,COMANDANTE,2025-08-13,True
236,3419,ENGENHEIRO_VOO,2026-02-07,True
4673,2470,COMISSARIO,2026-01-04,False
4079,2558,COMISSARIO,2026-03-08,True
4173,1495,COMISSARIO,2026-02-15,True
74,1004,COPILOTO,2025-12-23,True
1989,4266,MECANICO_BORDO,2025-07-26,True
91,1243,COMANDANTE,2025-08-04,True
4330,4467,COMANDANTE,2025-12-06,True
1877,2200,COMISSARIO_CHEFE,2026-04-01,True
4514,1964,MECANICO_BORDO,2025-10-05,True
3240,791,COMISSARIO,2025-08-23,True
3217,2534,COPILOTO,2025-08-04,False
4168,2840,COMISSARIO_CHEFE,2026-03-03,True
101,4327,MECANICO_BORDO,2026-02-15,True
4270,3276,ENGENHEIRO_VOO,2026-04-29,True
4359,4525,ENGENHEIRO_VOO,2025-11-09,True
4344,3932,COMISSARIO_CHEFE,2026-03-03,True
312,4620,MECANICO_BORDO,2025-08-03,True
4614,1359,COPILOTO,2025-11-01,True
2202,2169,ENGENHEIRO_VOO,2026-05-04,False
3676,212,COPILOTO,2025-06-26,True
1192,1128,MECANICO_BORDO,2026-05-17,True
2390,2898,MECANICO_BORDO,2025-08-13,True
1017,348,COMANDANTE,2025-06-14,True
1841,3341,COMISSARIO_CHEFE,2026-04-04,True
3964,1276,MECANICO_BORDO,2025-10-06,True
878,1196,COMANDANTE,2025-11-17,True
4259,3448,COMISSARIO,2026-01-13,True
2218,1412,ENGENHEIRO_VOO,2025-06-20,True
2261,2878,COMISSARIO,2026-03-13,True
1997,3181,ENGENHEIRO_VOO,2026-03-13,True
1692,751,ENGENHEIRO_VOO,2025-11-21,True
4675,2907,MECANICO_BORDO,2025-11-03,False
901,1039,ENGENHEIRO_VOO,2025-09-26,True
2842,165,COMANDANTE,2025-11-29,True
3477,1192,COMISSARIO_CHEFE,2025-10-30,True
561,1370,ENGENHEIRO_VOO,2026-05-31,True
4803,1693,COMISSARIO_CHEFE,2026-05-27,True
1887,2168,MECANICO_BORDO,2026-02-14,True
814,4945,COMISSARIO,2025-11-24,True
3106,2924,ENGENHEIRO_VOO,2025-07-23,True
363,307,MECANICO_BORDO,2026-05-07,False
1789,4670,COMANDANTE,2026-02-02,True
2596,921,COPILOTO,2026-05-29,True
4197,3126,COPILOTO,2025-08-02,False
720,1188,COPILOTO,2025-09-28,True
4060,163,ENGENHEIRO_VOO,2025-10-14,True
3082,917,COPILOTO,2025-09-25,True
1808,882,COMISSARIO_CHEFE,2025-12-21,False
4776,2638,COMISSARIO_CHEFE,2025-10-01,False
650,3536,COMISSARIO,2025-11-03,True
400,3637,COPILOTO,2025-11-14,True
2713,1198,MECANICO_BORDO,2025-08-15,True
1086,4450,ENGENHEIRO_VOO,2025-06-10,True
116,1121,COMISSARIO,2025-12-28,True
1574,2792,COMISSARIO_CHEFE,2025-09-28,True
524,2074,COMISSARIO_CHEFE,2025-12-13,False
155,4541,COPILOTO,2025-08-28,True
4902,2263,COMISSARIO_CHEFE,2025-06-17,True
4794,1420,COMISSARIO_CHEFE,2026-02-18,True
4038,2227,COMANDANTE,2026-02-27,False
3523,1881,COMANDANTE,2025-07-07,False
4465,2841,ENGENHEIRO_VOO,2025-08-17,True
2156,928,COMISSARIO_CHEFE,2025-07-28,True
4358,3335,ENGENHEIRO_VOO,2025-07-02,True
4908,4490,COMISSARIO,2025-09-14,True
2962,4897,COMISSARIO,2025-07-28,True
2775,4789,COMISSARIO_CHEFE,2026-02-16,True
4866,4050,COMISSARIO_CHEFE,2025-08-14,False
458,957,COMISSARIO_CHEFE,2025-09-01,True
3944,756,ENGENHEIRO_VOO,2025-09-12,True
53,298,COMISSARIO_CHEFE,2026-04-09,True
4331,4980,COPILOTO,2025-10-10,True
986,2319,MECANICO_BORDO,2026-02-17,True
4718,4391,ENGENHEIRO_VOO,2026-04-02,True
2727,1952,COMISSARIO_CHEFE,2025-09-04,False
2021,936,COMISSARIO_CHEFE,2026-02-27,True
4065,11,COMISSARIO,2025-12-07,True
294,2128,COMISSARIO,2026-04-06,True
3593,3915,ENGENHEIRO_VOO,2025-10-22,True
671,4738,COMANDANTE,2025-06-07,True
491,3614,COPILOTO,2025-07-30,False
2552,2499,COMISSARIO,2026-03-07,True
4545,4021,ENGENHEIRO_VOO,2025-07-11,True
340,2785,COMISSARIO,2026-04-27,True
177,3250,ENGENHEIRO_VOO,2026-01-29,True
2128,2697,ENGENHEIRO_VOO,2025-06-02,True
4060,2005,MECANICO_BORDO,2025-09-01,True
3842,787,COMANDANTE,2025-07-29,True
1346,480,COPILOTO,2025-09-12,True
4477,4011,COMISSARIO_CHEFE,2026-05-15,True
2458,3630,COMISSARIO_CHEFE,2025-09-07,True
3431,1374,COMISSARIO_CHEFE,2025-07-09,False
2674,4454,ENGENHEIRO_VOO,2026-05-25,False
1779,2469,COPILOTO,2026-04-23,True
150,2787,COPILOTO,2025-09-02,True
2192,2520,COPILOTO,2025-08-30,True
1445,996,ENGENHEIRO_VOO,2025-07-29,False
790,1347,COPILOTO,2026-04-06,False
2301,2633,ENGENHEIRO_VOO,2026-02-02,True
2475,177,ENGENHEIRO_VOO,2025-08-10,True
2522,2771,ENGENHEIRO_VOO,2025-09-11,False
445,3155,MECANICO_BORDO,2026-03-21,False
3071,3614,ENGENHEIRO_VOO,2026-04-09,False
1352,3694,COMISSARIO,2026-02-27,True
735,3780,COMANDANTE,2025-10-07,True
2443,4374,ENGENHEIRO_VOO,2025-12-01,True
1650,3252,MECANICO_BORDO,2025-12-06,True
2951,2630,COMANDANTE,2026-01-03,True
1526,2648,ENGENHEIRO_VOO,2025-08-23,False
831,1788,COMANDANTE,2025-08-23,True
4516,4774,COMISSARIO_CHEFE,2026-05-23,True
2267,1887,COMISSARIO,2025-12-07,True
578,1986,COPILOTO,2026-01-17,True
2723,129,COMANDANTE,2025-09-06,True
3086,1617,COMANDANTE,2025-12-04,True
3918,1346,COMANDANTE,2025-06-03,True
3738,2256,ENGENHEIRO_VOO,2025-12-26,False
1847,1367,ENGENHEIRO_VOO,2025-11-03,True
4301,4186,COMANDANTE,2025-08-17,True
3959,3364,COMISSARIO,2025-12-17,False
2808,1357,COPILOTO,2026-03-16,False
2339,4652,COMISSARIO_CHEFE,2025-07-26,True
1692,1621,COMISSARIO_CHEFE,2026-01-15,True
2937,3477,ENGENHEIRO_VOO,2026-04-22,True
2620,3775,COMISSARIO_CHEFE,2025-12-29,True
506,3221,MECANICO_BORDO,2025-12-30,True
607,878,COMISSARIO,2025-10-15,True
1855,1644,COPILOTO,2026-06-02,False
863,3389,MECANICO_BORDO,2025-07-23,True
4168,1689,COMANDANTE,2026-05-17,False
3206,4351,COMISSARIO_CHEFE,2026-05-22,True
2116,3588,MECANICO_BORDO,2025-09-19,True
1199,2974,COMISSARIO,2026-02-08,True
829,2985,MECANICO_BORDO,2026-01-10,True
66,4830,COPILOTO,2026-05-12,False
1467,2480,COMANDANTE,2025-11-03,True
1444,866,COPILOTO,2026-04-21,True
1664,4228,MECANICO_BORDO,2025-11-25,True
33,971,COMANDANTE,2026-05-26,True
4128,1277,COMISSARIO_CHEFE,2026-03-12,False
1696,3090,MECANICO_BORDO,2025-08-09,True
2917,3986,COMANDANTE,2025-07-06,True
4689,3141,COPILOTO,2025-07-03,True
1685,3983,COMISSARIO_CHEFE,2025-07-08,False
2773,1231,COMISSARIO_CHEFE,2025-08-19,True
2461,4748,COMISSARIO,2025-08-08,True
1693,4815,MECANICO_BORDO,2025-06-02,True
1952,3735,COMANDANTE,2026-01-01,False
2538,132,COMISSARIO,2025-07-12,False
2067,4289,COPILOTO,2025-10-05,True
4217,3310,COMISSARIO_CHEFE,2025-09-08,False
839,3991,COMISSARIO_CHEFE,2025-07-31,True
969,4900,COMANDANTE,2025-11-04,True
1441,2181,COMANDANTE,2026-01-12,True
370,2060,MECANICO_BORDO,2026-03-22,False
794,1670,MECANICO_BORDO,2025-10-17,True
3699,820,COMISSARIO_CHEFE,2025-06-09,True
1457,85,COMANDANTE,2025-06-07,True
3821,180,COMANDANTE,2026-04-22,False
1366,167,COMISSARIO,2025-06-30,True
4184,2856,COMISSARIO_CHEFE,2026-04-08,True
4634,1655,ENGENHEIRO_VOO,2026-01-30,True
1941,4215,COMISSARIO_CHEFE,2026-02-25,False
1094,729,COMANDANTE,2025-11-15,False
246,617,MECANICO_BORDO,2025-12-18,True
1279,1814,ENGENHEIRO_VOO,2025-09-27,True
3985,3859,COMISSARIO_CHEFE,2026-05-03,True
3429,4781,COMISSARIO,2025-11-14,True
4289,4127,COMISSARIO,2025-12-28,True
1447,712,COMISSARIO,2025-12-04,False
1359,1552,COMISSARIO_CHEFE,2025-08-31,True
2943,4579,MECANICO_BORDO,2025-11-20,True
2244,4567,COMISSARIO,2026-03-20,True
2737,336,COMISSARIO_CHEFE,2025-10-09,True
3172,1494,COMANDANTE,2025-11-15,True
49,373,ENGENHEIRO_VOO,2026-04-18,False
1619,3455,COPILOTO,2025-07-06,True
4627,697,ENGENHEIRO_VOO,2025-11-11,True
3177,2804,COMISSARIO_CHEFE,2026-05-07,True
587,1505,MECANICO_BORDO,2026-01-04,True
4282,864,MECANICO_BORDO,2026-03-21,False
2720,191,MECANICO_BORDO,2025-07-19,True
1842,2015,ENGENHEIRO_VOO,2025-09-30,False
2705,3705,ENGENHEIRO_VOO,2026-05-30,True
4020,3873,ENGENHEIRO_VOO,2026-02-28,True
1788,3115,COMANDANTE,2025-08-16,True
619,949,COMISSARIO_CHEFE,2026-03-07,True
927,2674,COPILOTO,2026-02-03,True
2752,4302,MECANICO_BORDO,2025-11-29,True
123,2135,ENGENHEIRO_VOO,2026-02-10,True
2296,3991,COMISSARIO,2025-10-15,True
626,1374,MECANICO_BORDO,2025-09-08,True
640,2028,COPILOTO,2026-03-24,True
2655,856,MECANICO_BORDO,2025-11-29,True
3155,849,COPILOTO,2025-09-16,True
4117,4027,COMISSARIO_CHEFE,2025-06-04,True
4,937,MECANICO_BORDO,2025-07-19,True
1626,984,COMISSARIO_CHEFE,2026-03-04,False
1241,2126,ENGENHEIRO_VOO,2025-09-28,True
4565,2043,COMANDANTE,2025-06-20,True
769,2800,COMANDANTE,2025-10-24,True
4061,3040,ENGENHEIRO_VOO,2026-02-08,True
363,348,MECANICO_BORDO,2026-02-21,True
2857,1349,ENGENHEIRO_VOO,2025-07-24,True
2166,4699,COPILOTO,2026-05-16,True
4287,2217,COPILOTO,2025-10-11,True
3754,2134,COMISSARIO_CHEFE,2025-09-12,True
3425,3440,COMISSARIO_CHEFE,2025-08-27,True
3815,3966,COMANDANTE,2025-08-01,False
2333,259,ENGENHEIRO_VOO,2025-11-01,True
4970,2779,COPILOTO,2025-08-31,True
805,3642,MECANICO_BORDO,2025-10-21,True
4116,178,COMANDANTE,2026-04-27,False
4144,3233,COMISSARIO,2026-05-04,True
2665,2231,COMANDANTE,2025-06-22,True
2550,434,COMISSARIO,2026-05-09,False
1509,2027,COMISSARIO,2026-03-21,True
1114,4929,COPILOTO,2026-01-25,True
795,4118,COMISSARIO,2025-08-08,True
2357,912,COPILOTO,2025-11-16,False
931,1749,MECANICO_BORDO,2025-08-21,True
786,3085,COMISSARIO,2025-11-05,False
1836,4326,COPILOTO,2026-01-17,True
2020,155,COMISSARIO_CHEFE,2025-06-25,False
3773,3407,COMANDANTE,2026-04-23,False
2298,3551,COMISSARIO,2025-09-02,False
4132,2496,MECANICO_BORDO,2026-05-31,True
2827,32,COMISSARIO_CHEFE,2025-10-27,False
3493,4211,COMISSARIO,2025-12-31,True
1533,2644,ENGENHEIRO_VOO,2026-04-30,True
3022,452,COPILOTO,2025-06-20,True
1427,4474,COMISSARIO,2026-04-06,False
316,1132,COMISSARIO_CHEFE,2025-11-25,True
1845,948,ENGENHEIRO_VOO,2025-12-04,False
4009,4620,ENGENHEIRO_VOO,2026-04-24,True
4846,3832,COMISSARIO_CHEFE,2026-03-20,True
4135,2317,COMISSARIO_CHEFE,2026-03-21,False
3608,2672,MECANICO_BORDO,2025-10-29,True
4472,1470,COMANDANTE,2025-09-01,True
413,4171,MECANICO_BORDO,2025-06-12,True
268,1740,COPILOTO,2026-03-25,True
4816,3217,COMISSARIO_CHEFE,2026-02-27,True
1917,4160,COPILOTO,2025-08-28,True
4042,3103,COMISSARIO_CHEFE,2025-08-09,True
116,4039,ENGENHEIRO_VOO,2025-12-10,True
4336,2939,COMISSARIO_CHEFE,2025-07-17,True
3660,2316,COMISSARIO,2025-12-22,False
3576,4636,MECANICO_BORDO,2026-03-02,True
276,2651,COMISSARIO,2025-09-08,True
2591,1155,MECANICO_BORDO,2025-08-23,True
3006,4795,COPILOTO,2025-12-30,False
2955,3982,ENGENHEIRO_VOO,2026-03-10,False
2912,4309,COMANDANTE,2025-09-04,False
828,827,COPILOTO,2025-07-30,True
3643,2440,COMANDANTE,2025-11-25,True
1753,3645,COPILOTO,2025-10-14,True
2164,3056,COMANDANTE,2026-02-26,False
766,3385,COPILOTO,2025-06-05,True
1385,608,COPILOTO,2026-02-22,True
359,617,COMISSARIO,2025-11-20,True
851,4452,COMISSARIO,2026-02-09,True
633,966,MECANICO_BORDO,2025-06-18,True
4955,3044,COMISSARIO,2026-01-01,True
2339,33,MECANICO_BORDO,2026-04-12,True
2856,4771,MECANICO_BORDO,2025-11-08,True
3120,431,ENGENHEIRO_VOO,2025-06-08,True
1739,4420,COPILOTO,2025-09-22,True
3395,1782,COMISSARIO,2025-09-20,False
3437,4310,COMISSARIO,2025-08-04,True
2741,4071,MECANICO_BORDO,2026-01-29,True
3343,3282,MECANICO_BORDO,2025-11-28,True
1223,601,ENGENHEIRO_VOO,2025-11-05,True
1765,356,ENGENHEIRO_VOO,2025-06-04,True
1166,2453,COPILOTO,2025-08-23,False
3034,2958,COMISSARIO,2025-09-08,True
4116,3268,COMISSARIO_CHEFE,2025-11-12,True
4539,515,COMANDANTE,2025-07-11,True
1300,3863,COMISSARIO,2026-02-13,True
1827,1244,COMISSARIO_CHEFE,2025-06-30,True
2041,4523,ENGENHEIRO_VOO,2025-12-13,False
3718,869,COMANDANTE,2026-04-04,False
4047,1526,COPILOTO,2025-09-04,True
1780,892,COMISSARIO,2025-12-29,True
1701,40,MECANICO_BORDO,2025-11-04,True
1984,4906,COMISSARIO_CHEFE,2025-08-20,True
892,1183,COPILOTO,2026-03-07,True
457,1849,COMISSARIO,2026-03-10,False
4106,2065,COPILOTO,2025-10-16,True
3276,1725,MECANICO_BORDO,2026-05-20,True
135,4527,COPILOTO,2025-10-10,False
522,781,COPILOTO,2026-02-09,True
1887,504,COMANDANTE,2025-11-11,True
4441,724,COMISSARIO,2026-05-14,False
3382,4625,MECANICO_BORDO,2025-08-19,True
3775,4329,ENGENHEIRO_VOO,2025-07-09,True
865,4331,ENGENHEIRO_VOO,2025-10-17,True
2748,3097,COMISSARIO_CHEFE,2025-10-02,False
4670,3392,ENGENHEIRO_VOO,2026-04-29,True
1551,56,MECANICO_BORDO,2026-02-02,True
3536,4618,COPILOTO,2026-01-25,False
4747,4206,ENGENHEIRO_VOO,2026-05-15,False
3880,3215,COPILOTO,2026-05-31,True
707,874,COPILOTO,2025-08-15,False
1080,893,ENGENHEIRO_VOO,2025-06-12,True
3394,4725,ENGENHEIRO_VOO,2025-09-26,True
2960,2839,COMANDANTE,2025-07-02,True
3571,4274,MECANICO_BORDO,2026-03-31,True
450,256,COMANDANTE,2025-12-21,True
2790,3587,ENGENHEIRO_VOO,2025-10-29,True
4355,382,MECANICO_BORDO,2025-07-07,True
1398,3653,COMISSARIO,2026-03-30,True
2754,1345,COMISSARIO_CHEFE,2025-06-12,True
259,1888,COPILOTO,2026-04-14,True
954,4702,MECANICO_BORDO,2025-12-06,True
759,3541,MECANICO_BORDO,2026-05-22,True
385,3837,COMANDANTE,2026-02-11,False
4314,2563,COMISSARIO_CHEFE,2026-02-06,False
2595,4458,COMISSARIO_CHEFE,2026-03-29,True
3346,2368,COPILOTO,2026-05-28,True
418,4702,COMISSARIO,2025-10-27,True
1312,1662,COMANDANTE,2025-11-28,True
3984,1918,ENGENHEIRO_VOO,2025-08-10,False
2709,4073,ENGENHEIRO_VOO,2025-12-16,True
1537,1586,COMISSARIO,2025-06-25,True
3810,203,COMISSARIO,2026-01-26,True
3770,3009,COMANDANTE,2026-02-07,True
4387,1869,MECANICO_BORDO,2026-05-03,True
1174,2494,MECANICO_BORDO,2026-05-16,True
3330,2229,ENGENHEIRO_VOO,2025-10-10,False
1994,342,COMISSARIO_CHEFE,2025-06-21,True
1289,4365,COMANDANTE,2026-05-27,True
900,2035,COMISSARIO_CHEFE,2025-09-19,True
4328,3323,ENGENHEIRO_VOO,2026-04-08,True
4268,3953,COMISSARIO_CHEFE,2026-05-31,False
3483,2594,MECANICO_BORDO,2026-04-16,True
4635,1930,MECANICO_BORDO,2026-05-03,False
4995,2711,COMISSARIO,2026-01-03,True
418,2094,COPILOTO,2026-03-21,True
3370,4750,COPILOTO,2025-08-29,True
4913,4851,COMISSARIO,2025-11-24,True
3143,1961,COPILOTO,2025-06-29,False
4432,77,COPILOTO,2025-06-29,True
2842,551,COPILOTO,2026-02-20,True
4683,516,COMISSARIO,2025-07-28,True
3624,2991,COMISSARIO,2026-01-18,True
600,3220,COMISSARIO,2025-06-14,True
575,991,COMISSARIO,2026-03-03,True
1241,1670,COMANDANTE,2026-04-30,True
2877,2193,COMISSARIO,2025-10-25,True
1202,4060,COMANDANTE,2025-09-01,True
2639,2699,COPILOTO,2025-07-20,False
403,3375,COMANDANTE,2025-09-13,True
3918,2162,MECANICO_BORDO,2026-02-05,False
1050,4622,COMISSARIO_CHEFE,2025-11-27,True
1657,28,COPILOTO,2026-05-04,True
3172,1877,COMISSARIO_CHEFE,2026-01-07,True
64,2419,MECANICO_BORDO,2025-06-28,True
3208,4124,ENGENHEIRO_VOO,2025-09-30,True
1527,871,COMISSARIO,2025-08-30,False
1540,3534,COMISSARIO,2026-01-12,True
975,3345,COMANDANTE,2025-09-11,False
2537,1386,COMANDANTE,2025-07-27,True
1658,1053,COPILOTO,2025-10-09,True
1425,903,COMANDANTE,2026-03-14,True
642,3621,COMISSARIO,2025-12-06,True
1328,1949,COMISSARIO,2025-12-11,True
867,4434,COMISSARIO_CHEFE,2026-02-11,True
2883,694,COMISSARIO_CHEFE,2025-10-15,False
3544,3694,ENGENHEIRO_VOO,2026-04-23,True
2630,2459,COMISSARIO,2025-07-05,True
2488,351,MECANICO_BORDO,2025-08-25,True
4221,160,COMISSARIO,2025-12-20,True
2540,852,COMISSARIO,2026-05-08,True
2045,3633,COMANDANTE,2026-02-05,True
329,322,COMISSARIO_CHEFE,2026-03-07,True
2474,3715,COMISSARIO,2025-08-10,True
4329,4207,COPILOTO,2026-04-19,True
3034,733,COMISSARIO_CHEFE,2026-02-18,True
2876,2401,COMISSARIO,2026-05-02,True
3472,746,MECANICO_BORDO,2026-04-05,False
