nome,pais_origem_id,ano_fundacao,website,ativo
Boeing,308,1911,https://www.boeing.com,True
Airbus,585,1951,https://www.airbus.com,True
Embraer,583,2017,https://www.embraer.com,True
Bombardier,223,1993,https://www.bombardier.com,True
Cessna,80,1992,https://www.cessna.com,True
Dassault Aviation,333,2001,https://www.dassaultaviation.com,True
Gulfstream,495,1922,https://www.gulfstream.com,True
ATR,500,2005,https://www.atr.com,True
Pilatus,921,1988,https://www.pilatus.com,True
Saab,720,1973,https://www.saab.com,True
Lockheed Martin,840,2016,https://www.lockheedmartin.com,True
Mitsubishi Aircraft,98,1976,https://www.mitsubishiaircraft.com,True
COMAC,658,1938,https://www.comac.com,True
Sukhoi,39,1993,https://www.sukhoi.com,True
Tupolev,828,1973,https://www.tupolev.com,True
Antonov,391,1910,https://www.antonov.com,True
Fokker,799,1907,https://www.fokker.com,True
BAE Systems,944,1998,https://www.baesystems.com,True
De Havilland,343,1944,https://www.dehavilland.com,True
Beechcraft,901,2004,https://www.beechcraft.com,True
TechWorks 20,953,1965,https://www.techworks20.com,True
JetSolutions 21,951,1951,https://www.jetsolutions21.com,True
TechCorp 22,313,2017,https://www.techcorp22.com,False
StarSolutions 23,154,1991,https://www.starsolutions23.com,True
JetAviation 24,52,2000,https://www.jetaviation24.com,True
GlobalSolutions 25,517,1961,https://www.globalsolutions25.com,True
WingWorks 26,152,1966,https://www.wingworks26.com,True
NovaSolutions 27,764,1956,https://www.novasolutions27.com,True
WingIndustries 28,409,2014,https://www.wingindustries28.com,True
AirAviation 29,493,2021,https://www.airaviation29.com,True
TechSolutions 30,201,2021,https://www.techsolutions30.com,True
StarAerospace 31,249,1959,https://www.staraerospace31.com,True
TechDynamics 32,702,2023,https://www.techdynamics32.com,False
TechWorks 33,375,1994,https://www.techworks33.com,True
FlySolutions 34,672,1953,https://www.flysolutions34.com,True
AirDynamics 35,632,2006,https://www.airdynamics35.com,True
NovaCorp 36,947,1979,https://www.novacorp36.com,True
FlyAviation 37,776,1960,https://www.flyaviation37.com,True
AeroAerospace 38,972,1968,https://www.aeroaerospace38.com,True
WingCorp 39,352,1964,https://www.wingcorp39.com,True
NovaCorp 40,340,1976,https://www.novacorp40.com,True
JetAerospace 41,560,2016,https://www.jetaerospace41.com,True
StarManufacturing 42,638,1968,https://www.starmanufacturing42.com,True
AeroWorks 43,597,2017,https://www.aeroworks43.com,False
AirCorp 44,291,1975,https://www.aircorp44.com,True
GlobalSystems 45,55,2009,https://www.globalsystems45.com,True
AeroIndustries 46,398,1984,https://www.aeroindustries46.com,True
FlyIndustries 47,20,1987,https://www.flyindustries47.com,True
TechAerospace 48,390,2015,https://www.techaerospace48.com,True
SkyDynamics 49,497,2018,https://www.skydynamics49.com,False
JetEngineering 50,990,2008,https://www.jetengineering50.com,True
AeroCorp 51,254,2017,https://www.aerocorp51.com,True
NovaWorks 52,763,1970,https://www.novaworks52.com,False
FlyDynamics 53,641,1988,https://www.flydynamics53.com,True
StarSystems 54,832,1957,https://www.starsystems54.com,True
TechCorp 55,967,2021,https://www.techcorp55.com,True
JetAviation 56,350,2000,https://www.jetaviation56.com,True
SkyWorks 57,534,1979,https://www.skyworks57.com,True
GlobalAviation 58,437,1989,https://www.globalaviation58.com,True
FlyManufacturing 59,556,1966,https://www.flymanufacturing59.com,True
AirSolutions 60,555,1975,https://www.airsolutions60.com,True
WingEngineering 61,932,1967,https://www.wingengineering61.com,True
AirSolutions 62,940,1970,https://www.airsolutions62.com,True
StarEngineering 63,972,1965,https://www.starengineering63.com,True
AirCorp 64,784,1990,https://www.aircorp64.com,True
TechWorks 65,311,2006,https://www.techworks65.com,True
