nome,pais_id,tipo_servico,telefone,email,cnpj_vat,ativo,data_contrato
Sousa Sampaio - EI,37,CONSULTORIA,+55 61 8769 2082,joseda-costa@moraes.edu.br,13.924.507/0001-83,True,2020-11-10
Novaes,365,LIMPEZA,+55 84 2067 3231,luisabarbosa@silveira.gov.br,81.539.240/0001-60,True,2016-12-24
Vasconcelos S/A,5,CONSULTORIA,+55 (041) 0152 9113,cbrito@araujo.com.br,90.276.385/0001-07,True,2021-05-08
da Luz,148,MANUTENCAO,+55 (031) 1829-9874,xmoreira@cassiano.com.br,48.023.576/0001-09,True,2023-10-25
Alves,696,SEGURANCA,+55 (061) 9004 3655,fonsecapietra@moura.com,69.173.825/0001-04,True,2020-04-17
Freitas,84,MANUTENCAO,+55 (071) 5429 6080,aaragao@da.com.br,98.742.016/0001-74,False,2017-07-07
da Mata S/A,161,TECNOLOGIA,+55 71 6481 8804,luiz-gustavo87@da.edu.br,36.945.071/0001-04,True,2020-07-16
Rocha Azevedo S.A.,595,LIMPEZA,71 9428 9464,asafeda-cruz@sa.com.br,25.610.948/0001-90,True,2024-04-11
Gomes Ltda.,983,CONSULTORIA,51 2554 0263,carolina82@correia.com.br,01.732.658/0001-50,False,2025-02-22
Vargas S.A.,323,COMBUSTIVEL,+55 51 5388 8245,maria-florpimenta@rocha.br,04.962.187/0001-65,False,2019-12-22
Correia,815,LIMPEZA,51 4951 6321,britomaria@silveira.com.br,18.049.572/0001-20,True,2019-10-15
Cunha,613,LOGISTICA,+55 84 6530 6011,uteixeira@brito.br,86.071.593/0001-00,True,2026-05-22
Farias - ME,140,HANDLING,+55 61 8298 0365,sporto@da.com.br,41.609.835/0001-20,True,2022-04-20
Araújo Barbosa Ltda.,586,CONSULTORIA,0500-118-9418,rael36@fernandes.com.br,02.617.548/0001-00,True,2025-01-09
Barbosa da Costa - ME,922,LOGISTICA,+55 84 5561-1404,raquelnascimento@souza.com,50.913.746/0001-64,True,2017-03-17
Camargo e Filhos,808,CONSULTORIA,+55 81 6003 0835,mgoncalves@teixeira.br,27.195.803/0001-03,True,2020-02-20
Fernandes,757,SEGURANCA,11 0688 2691,fpires@teixeira.edu.br,23.495.078/0001-20,True,2021-08-04
Vieira - EI,173,TRANSPORTE,(041) 3543-7882,naparecida@ramos.com.br,10.952.386/0001-95,True,2017-03-24
Nunes,238,LIMPEZA,0800 144 9207,lucas69@vargas.gov.br,96.487.530/0001-85,True,2025-04-20
Casa Grande,307,CATERING,61 5969-3259,da-rochaasafe@nunes.gov.br,32.901.586/0001-51,True,2023-09-25
Nunes,877,TECNOLOGIA,84 0690-8726,marqueslara@ramos.com,34.986.127/0001-43,True,2022-07-29
Moreira Carvalho e Filhos,33,CATERING,84 0405-6129,bfernandes@guerra.edu.br,26.407.351/0001-05,True,2023-05-05
Cunha S/A,791,LOGISTICA,84 7612-3859,isaque43@guerra.edu.br,23.467.908/0001-05,True,2019-03-19
Sá,109,HANDLING,+55 21 0086-9661,camargohellena@barbosa.net,95.076.382/0001-43,False,2021-03-03
da Rocha e Filhos,389,LOGISTICA,0500-150-7628,luisaramos@pires.com,05.382.691/0001-59,True,2023-12-01
Peixoto,301,TRANSPORTE,(011) 6207 2662,catarinaalmeida@souza.com.br,76.014.598/0001-30,False,2016-10-21
Moura,523,LOGISTICA,61 4133-3731,ana-sophiafogaca@costa.com,78.130.942/0001-81,True,2018-02-23
Pereira S.A.,379,CONSULTORIA,+55 (011) 6136 3852,imonteiro@garcia.com,39.705.421/0001-53,True,2020-12-02
Silveira S.A.,691,CATERING,0800 502 6480,lopesyuri@aragao.net,73.460.892/0001-87,True,2018-04-05
Martins Sousa - ME,120,HANDLING,31 2210-2179,gustavopires@da.com,98.573.460/0001-03,True,2023-09-01
Nogueira da Cruz S/A,192,LIMPEZA,31 2856-0539,bsousa@viana.com.br,98.635.071/0001-65,True,2017-06-16
Monteiro,523,TRANSPORTE,+55 41 6820-5068,enzo-gabrielribeiro@cirino.br,52.139.807/0001-03,True,2025-08-03
Caldeira,986,CATERING,+55 71 6921-8219,beatriznunes@marques.com.br,90.413.725/0001-02,False,2016-09-10
Cardoso Andrade Ltda.,587,CONSULTORIA,+55 (051) 9386 9484,ana-ceciliapereira@sousa.gov.br,89.150.247/0001-06,True,2025-09-13
Sá,468,SEGURANCA,+55 (051) 7152 3867,mmendes@alves.org,61.859.342/0001-56,True,2025-06-21
Gomes,941,COMBUSTIVEL,71 2996-8722,pietra93@souza.com,85.039.146/0001-01,True,2017-04-20
Alves,453,COMBUSTIVEL,21 6695 7900,cavalcantealana@vasconcelos.com.br,54.817.392/0001-05,True,2023-02-14
Carvalho Fogaça - EI,597,CATERING,(021) 2328 9463,zoeoliveira@fernandes.com,41.589.230/0001-15,True,2022-04-05
Cavalcante,303,LOGISTICA,0500 269 3358,gustavo38@novais.br,59.083.421/0001-76,True,2025-12-03
Almeida,255,TECNOLOGIA,0800-574-4303,isaque89@camargo.gov.br,72.014.863/0001-29,True,2017-01-22
Fonseca S.A.,353,CONSULTORIA,61 4154 7155,heitorcunha@fonseca.com.br,67.183.520/0001-58,True,2016-09-09
Cassiano,679,CATERING,+55 51 4105 2769,sampaiosabrina@novais.com,92.708.516/0001-03,True,2025-03-02
Guerra,150,HANDLING,+55 (031) 2586-6059,wvieira@nascimento.br,49.213.785/0001-70,True,2021-03-05
Siqueira,437,LOGISTICA,0900 655 9428,ana-juliapimenta@barros.br,50.268.943/0001-78,True,2021-08-21
Porto,707,MANUTENCAO,+55 31 9313-2155,costelaanthony@fernandes.br,08.356.712/0001-50,True,2018-02-15
da Rosa,235,LIMPEZA,(011) 8896 6997,melinasales@lima.com.br,74.615.093/0001-03,True,2025-03-09
Freitas da Paz S.A.,954,TECNOLOGIA,+55 (084) 8328 1231,murilopereira@ramos.org,91.035.742/0001-08,True,2020-07-31
da Luz,677,TRANSPORTE,(084) 2387-5082,hguerra@rios.com,25.739.846/0001-79,True,2020-12-08
Carvalho,77,HANDLING,41 2905 2918,qgarcia@siqueira.com,82.705.316/0001-43,True,2024-03-12
Costa Macedo e Filhos,963,LIMPEZA,+55 11 9920-5222,julianacavalcante@siqueira.com.br,51.487.960/0001-69,True,2019-04-02
Rezende,750,CONSULTORIA,21 3983 5844,fcampos@sousa.com.br,73.268.910/0001-23,True,2026-02-18
da Luz,919,HANDLING,+55 61 9791-2799,labreu@macedo.com,53.764.809/0001-56,True,2024-10-04
Carvalho,946,CONSULTORIA,0800 883 2201,emanuellagoncalves@novaes.com,09.467.352/0001-26,True,2024-12-25
Ferreira,332,TECNOLOGIA,+55 (084) 5852-3860,costaarthur-gabriel@da.net,61.503.924/0001-03,True,2019-12-29
Almeida S.A.,596,SEGURANCA,0500 295 0143,pda-mota@araujo.com,96.701.438/0001-76,True,2018-05-18
Gonçalves Aragão e Filhos,891,TECNOLOGIA,+55 (021) 2132-1767,cauecamargo@camargo.br,61.280.549/0001-71,False,2018-09-24
Ribeiro,479,COMBUSTIVEL,51 7339 3049,lorenagarcia@costela.edu.br,02.756.893/0001-25,True,2021-03-20
Brito Borges Ltda.,86,CATERING,+55 (031) 8682 5095,kaiquepeixoto@garcia.com,03.527.896/0001-50,True,2016-06-09
Silva Rios - EI,194,MANUTENCAO,0300-529-7013,jcampos@correia.br,58.942.370/0001-28,True,2020-01-10
da Luz S/A,229,HANDLING,+55 (021) 0270-6159,maria-luizada-conceicao@da.com,20.756.831/0001-03,True,2016-10-19
da Conceição,118,TECNOLOGIA,+55 81 2481 5542,camaraallana@da.com,05.634.721/0001-77,True,2021-08-30
Freitas - ME,273,CATERING,0900 554 6234,icaldeira@martins.br,01.947.563/0001-54,True,2019-12-11
Sousa - ME,772,COMBUSTIVEL,81 3176-4172,cmoreira@moreira.com.br,57.184.096/0001-02,True,2017-06-14
Barros,546,LOGISTICA,+55 (081) 8067-1307,brendabarros@da.edu.br,47.913.602/0001-01,True,2019-10-06
Almeida - EI,445,TRANSPORTE,(021) 2588-5766,maysa03@novais.br,39.618.257/0001-47,True,2023-11-07
Barros Fogaça - EI,952,COMBUSTIVEL,+55 (084) 8327 0004,bleao@das.gov.br,90.168.532/0001-25,True,2024-09-05
Campos,665,SEGURANCA,+55 61 0049-3881,andre53@dias.com,48.069.231/0001-88,True,2025-06-03
Porto,555,TECNOLOGIA,+55 21 1379-7166,gustavo66@cassiano.br,40.739.218/0001-87,False,2019-05-20
Lopes,113,COMBUSTIVEL,+55 (061) 3899-4991,ealbuquerque@cavalcante.br,20.378.469/0001-76,True,2019-05-03
Borges - ME,150,COMBUSTIVEL,+55 (081) 2041 8135,hcasa-grande@macedo.com.br,89.457.062/0001-30,True,2023-03-17
da Rosa,922,LOGISTICA,61 2217-5883,xmontenegro@albuquerque.edu.br,20.894.731/0001-35,True,2021-11-12
Rios,636,HANDLING,+55 31 2369 1496,teixeiraenzo-gabriel@moraes.com.br,94.285.316/0001-10,True,2023-02-02
Rios,612,COMBUSTIVEL,+55 (071) 4095 3141,wcamargo@aparecida.br,83.297.416/0001-40,True,2022-11-03
Caldeira,743,TRANSPORTE,(051) 9624-0964,igomes@silveira.br,04.782.196/0001-74,True,2016-08-13
Novais Fernandes S/A,595,HANDLING,51 2259 3648,alexandremontenegro@da.edu.br,83.091.265/0001-70,True,2018-12-29
Pereira,211,MANUTENCAO,0500 160 9114,cunhahenry-gabriel@fogaca.gov.br,23.601.589/0001-89,True,2023-05-09
Fernandes S.A.,400,TRANSPORTE,+55 51 0458 8165,cavalcanteeloah@sa.org,72.409.631/0001-70,True,2016-12-15
Sampaio da Rocha Ltda.,123,SEGURANCA,+55 (041) 9661 7718,valentimpeixoto@nogueira.com.br,06.784.195/0001-94,True,2017-10-09
da Mata,224,TECNOLOGIA,81 8135 9266,zoe69@sampaio.com.br,98.724.365/0001-63,True,2017-12-15
Fernandes,24,CATERING,0900 450 1192,danilorodrigues@fonseca.net,60.589.371/0001-82,True,2017-06-21
Peixoto Nascimento - EI,581,LOGISTICA,61 3653 6218,beatriz59@garcia.com,09.461.278/0001-30,False,2017-03-20
Garcia,120,COMBUSTIVEL,41 4896 6760,luiza42@vieira.br,65.793.204/0001-72,False,2024-02-01
Vargas,420,MANUTENCAO,(051) 3389 0623,valentim66@porto.br,40.135.298/0001-61,True,2017-05-01
Sales e Filhos,186,SEGURANCA,(011) 2212-2427,smendes@das.br,25.130.846/0001-77,True,2021-03-13
Borges Ltda.,241,LIMPEZA,21 4886-0080,melopietra@mendes.com.br,78.210.694/0001-89,True,2016-08-25
Machado,792,SEGURANCA,+55 84 6426 1212,costelasarah@da.com.br,75.392.468/0001-78,True,2017-03-27
Novaes,583,HANDLING,(084) 2548 2421,milenaduarte@fonseca.com.br,40.853.296/0001-08,True,2022-09-02
Rezende,527,CONSULTORIA,(061) 5231-1232,xda-paz@rodrigues.gov.br,17.863.942/0001-04,True,2021-05-30
Mendonça Cavalcante S/A,514,COMBUSTIVEL,+55 (071) 8862-1750,azevedohellena@aparecida.com.br,30.641.259/0001-82,True,2020-04-27
da Conceição,499,LOGISTICA,(041) 0018 1677,olivia16@cavalcanti.org,49.526.307/0001-10,True,2019-12-30
Sales,339,HANDLING,+55 (084) 7993 7810,rodrigo91@nascimento.edu.br,48.679.532/0001-23,False,2025-05-24
Teixeira Sales - EI,461,CONSULTORIA,+55 (081) 4579 2714,irodrigues@garcia.net,01.652.879/0001-19,True,2019-11-19
Pastor Machado S.A.,292,MANUTENCAO,41 3391-2187,goncalveslevi@cavalcanti.com,98.316.047/0001-63,True,2016-09-02
da Conceição Cavalcanti S/A,572,CATERING,+55 (031) 1867 6610,moraesmaria-luisa@campos.com,81.492.306/0001-04,True,2017-06-20
Novaes da Rocha Ltda.,920,MANUTENCAO,+55 51 1980 7468,mathiasdias@jesus.com.br,95.106.784/0001-43,True,2023-04-19
Abreu Freitas Ltda.,617,SEGURANCA,(071) 9671 5006,yrios@da.com,10.627.845/0001-65,True,2020-03-29
Abreu,609,MANUTENCAO,(041) 8516-9949,haparecida@freitas.com.br,36.841.259/0001-02,False,2025-07-04
Castro,291,CONSULTORIA,51 9708 3868,melosarah@viana.gov.br,15.024.398/0001-73,True,2024-02-19
Nunes - ME,538,CATERING,41 0932 0126,maria89@garcia.com,80.519.326/0001-69,True,2025-02-07
Campos,72,CATERING,(051) 7741-2746,dombrito@da.com.br,96.237.140/0001-57,True,2024-07-17
