nome,fabricante_id,capacidade_passageiros,alcance_km,peso_max_decolagem_kg,ano_primeiro_voo,envergadura_metros
Boeing 737-800,130,189,5765,94660.15,2002,20.82
Boeing 747-400,701,416,13450,133522.37,2013,69.79
Boeing 777-300ER,440,396,13650,488690.49,2017,20.48
Boeing 787-9,492,296,14140,158943.98,2001,24.96
Boeing 767-300ER,440,269,11070,138918.7,1979,63.75
Airbus A320neo,192,194,6300,139744.06,2019,26.9
Airbus A330-300,270,440,11750,497243.39,1985,59.98
Airbus A350-900,440,325,15000,115237.98,2015,66.96
Airbus A380-800,106,853,15200,356549.58,2002,56.67
Airbus A220-300,194,160,6297,496424.8,2007,57.73
Embraer E195-E2,153,146,4815,130104.41,1978,44.08
Embraer E175,281,88,3704,495391.42,1979,45.58
ATR 72-600,632,78,1528,115828.88,1973,42.82
Bombardier CRJ-900,538,90,2956,167094.05,2010,78.81
Cessna Citation X,228,12,6020,181365.37,2000,23.68
Modelo N-115,660,268,1846,193009.64,1994,40.45
Modelo P-116,729,229,7849,159476.65,1966,27.72
Modelo Q-117,54,50,11820,450681.5,1987,34.97
Modelo R-118,931,193,10937,73945.59,1983,32.66
Modelo S-119,373,301,6476,193048.67,1972,61.83
Modelo T-120,566,399,13623,519254.95,2002,40.24
Modelo U-121,371,464,13172,470602.86,2007,31.68
Modelo V-122,216,191,10573,239668.87,1973,24.13
Modelo W-123,617,430,2971,39007.78,1984,28.5
Modelo X-124,948,278,2616,58804.57,2003,36.1
Modelo Y-125,780,292,4309,327131.17,1979,18.07
Modelo Z-126,429,148,10019,431287.83,2004,77.64
Modelo A-127,645,279,12752,83695.93,2015,19.74
Modelo B-128,537,264,9255,477667.83,1981,56.94
Modelo C-129,991,406,3112,184448.97,1967,70.61
Modelo D-130,195,405,13135,491502.1,2023,62.93
Modelo E-131,526,495,2228,111828.16,2025,41.89
Modelo F-132,400,449,7567,370222.75,1986,27.88
Modelo G-133,586,131,4568,361385.96,1961,76.54
Modelo H-134,526,454,8461,309733.39,1993,36.24
Modelo J-135,304,162,12604,172081.07,1975,26.98
Modelo K-136,547,73,4902,185728.33,1978,80.94
Modelo L-137,950,192,3178,173204.39,1966,59.97
Modelo M-138,844,177,4440,327738.03,1960,60.41
Modelo N-139,620,373,7047,204868.7,1993,65.55
Modelo P-140,920,259,11018,187513.77,1967,58.82
