nome,codigo_iso2,codigo_iso3,continente
Brasil,BR,BRA,AMERICA_DO_SUL
Portugal,PT,PRT,EUROPA
Estados Unidos,US,USA,AMERICA_DO_NORTE
Argentina,AR,ARG,AMERICA_DO_SUL
Alemanha,DE,DEU,EUROPA
França,FR,FRA,EUROPA
Itália,IT,ITA,EUROPA
Espanha,ES,ESP,EUROPA
Reino Unido,GB,GBR,EUROPA
Japão,JP,JPN,ASIA
China,CN,CHN,ASIA
Índia,IN,IND,ASIA
Austrália,AU,AUS,OCEANIA
Canadá,CA,CAN,AMERICA_DO_NORTE
México,MX,MEX,AMERICA_DO_NORTE
Rússia,RU,RUS,EUROPA
Coreia do Sul,KR,KOR,ASIA
Indonésia,ID,IDN,ASIA
Turquia,TR,TUR,ASIA
Arábia Saudita,SA,SAU,ASIA
África do Sul,ZA,ZAF,AFRICA
Nigéria,NG,NGA,AFRICA
Egito,EG,EGY,AFRICA
Chile,CL,CHL,AMERICA_DO_SUL
Colômbia,CO,COL,AMERICA_DO_SUL
Peru,PE,PER,AMERICA_DO_SUL
Venezuela,VE,VEN,AMERICA_DO_SUL
Uruguai,UY,URY,AMERICA_DO_SUL
Paraguai,PY,PRY,AMERICA_DO_SUL
Bolívia,BO,BOL,AMERICA_DO_SUL
Equador,EC,ECU,AMERICA_DO_SUL
Noruega,NO,NOR,EUROPA
Suécia,SE,SWE,EUROPA
Dinamarca,DK,DNK,EUROPA
Finlândia,FI,FIN,EUROPA
Polónia,PL,POL,EUROPA
Holanda,NL,NLD,EUROPA
Bélgica,BE,BEL,EUROPA
Suíça,CH,CHE,EUROPA
Áustria,AT,AUT,EUROPA
Grécia,GR,GRC,EUROPA
Irlanda,IE,IRL,EUROPA
República Checa,CZ,CZE,EUROPA
Roménia,RO,ROU,EUROPA
Hungria,HU,HUN,EUROPA
Nova Zelândia,NZ,NZL,OCEANIA
Tailândia,TH,THA,ASIA
Malásia,MY,MYS,ASIA
Filipinas,PH,PHL,ASIA
Vietname,VN,VNM,ASIA
República de Alves,00,AAA,OCEANIA
República de da Cruz de Goiás,01,AAB,EUROPA
República de Sousa,02,AAC,EUROPA
República de Rocha,03,AAD,OCEANIA
República de Pastor,04,AAE,AFRICA
República de Andrade do Sul,05,AAF,ASIA
República de Cunha,06,AAG,ASIA
República de Montenegro,07,AAH,ASIA
República de Novais,08,AAI,OCEANIA
República de Silva,09,AAJ,EUROPA
República de Câmara dos Dourados,0A,AAK,OCEANIA
República de Abreu da Serra,0B,AAL,OCEANIA
República de Fernandes Paulista,0C,AAM,AMERICA_DO_SUL
República de Cunha 1,0D,AAN,EUROPA
República de Caldeira de Minas,0E,AAO,AMERICA_DO_SUL
República de Brito da Praia,0F,AAP,AMERICA_DO_NORTE
República de Pereira Paulista,0G,AAQ,EUROPA
República de Siqueira,0H,AAR,EUROPA
República de Nascimento de Campos,0I,AAS,EUROPA
República de Barros da Prata,0J,AAT,ASIA
República de Pires da Praia,0K,AAU,ASIA
República de Santos,0L,AAV,AMERICA_DO_SUL
