reserva_id,numero_passagem,assento,classe,emitida_em
1,TKT-00001,32D,PRIMEIRA_CLASSE,2026-04-11 13:55:34+00:00
2,TKT-00002,10F,ECONOMICA,2026-05-07 15:47:40+00:00
3,TKT-00003,34A,ECONOMICA,2025-12-18 12:16:24+00:00
4,TKT-00004,33C,PRIMEIRA_CLASSE,2025-12-07 12:36:32+00:00
5,TKT-00005,22F,ECONOMICA,2026-03-21 13:33:43+00:00
6,TKT-00006,18D,ECONOMICA,2025-06-25 10:57:53+00:00
7,TKT-00007,11A,PRIMEIRA_CLASSE,2025-11-27 03:05:41+00:00
8,TKT-00008,5C,PRIMEIRA_CLASSE,2026-01-15 23:36:02+00:00
9,TKT-00009,12B,ECONOMICA,2026-03-13 06:54:28+00:00
10,TKT-00010,20F,PRIMEIRA_CLASSE,2025-12-11 12:00:01+00:00
11,TKT-00011,27F,ECONOMICA,2025-12-13 17:39:17+00:00
12,TKT-00012,14E,PRIMEIRA_CLASSE,2025-10-01 00:42:16+00:00
13,TKT-00013,24E,EXECUTIVA,2026-02-18 03:27:33+00:00
14,TKT-00014,36B,ECONOMICA,2025-12-15 07:09:21+00:00
15,TKT-00015,15E,EXECUTIVA,2026-04-18 01:24:53+00:00
16,TKT-00016,6C,EXECUTIVA,2025-10-05 10:52:55+00:00
17,TKT-00017,34C,PRIMEIRA_CLASSE,2025-09-26 16:01:39+00:00
18,TKT-00018,12E,ECONOMICA,2025-10-13 17:25:50+00:00
19,TKT-00019,19C,ECONOMICA,2026-05-08 15:30:30+00:00
20,TKT-00020,9E,PRIMEIRA_CLASSE,2025-06-06 14:57:06+00:00
21,TKT-00021,26E,ECONOMICA,2026-03-23 01:10:09+00:00
22,TKT-00022,28C,EXECUTIVA,2026-05-05 23:20:53+00:00
23,TKT-00023,16B,EXECUTIVA,2025-07-15 09:36:21+00:00
24,TKT-00024,1C,PRIMEIRA_CLASSE,2025-11-27 14:02:04+00:00
25,TKT-00025,28C,EXECUTIVA,2025-06-21 07:30:42+00:00
26,TKT-00026,4A,PRIMEIRA_CLASSE,2026-03-27 19:48:46+00:00
27,TKT-00027,35D,ECONOMICA,2025-11-21 21:22:55+00:00
28,TKT-00028,2C,EXECUTIVA,2026-02-09 13:19:58+00:00
29,TKT-00029,40F,EXECUTIVA,2026-02-08 08:07:34+00:00
30,TKT-00030,7E,ECONOMICA,2025-10-08 20:42:45+00:00
31,TKT-00031,30B,PRIMEIRA_CLASSE,2026-05-20 07:06:08+00:00
32,TKT-00032,33D,EXECUTIVA,2026-01-13 10:24:41+00:00
33,TKT-00033,11B,PRIMEIRA_CLASSE,2025-08-23 15:27:23+00:00
34,TKT-00034,10F,EXECUTIVA,2025-09-25 00:18:26+00:00
35,TKT-00035,14A,PRIMEIRA_CLASSE,2026-02-16 19:37:21+00:00
36,TKT-00036,38E,EXECUTIVA,2026-01-26 23:21:45+00:00
37,TKT-00037,8B,PRIMEIRA_CLASSE,2025-10-01 15:01:44+00:00
38,TKT-00038,15B,EXECUTIVA,2026-05-05 01:33:50+00:00
39,TKT-00039,24D,EXECUTIVA,2026-02-12 17:13:06+00:00
40,TKT-00040,4F,ECONOMICA,2025-10-30 13:35:33+00:00
41,TKT-00041,40D,PRIMEIRA_CLASSE,2026-03-15 16:41:53+00:00
42,TKT-00042,20C,ECONOMICA,2025-12-22 00:30:16+00:00
43,TKT-00043,7C,EXECUTIVA,2025-08-01 02:40:04+00:00
44,TKT-00044,10C,EXECUTIVA,2025-11-23 16:03:30+00:00
45,TKT-00045,22B,PRIMEIRA_CLASSE,2025-11-22 19:38:35+00:00
46,TKT-00046,27F,EXECUTIVA,2026-05-22 22:28:52+00:00
47,TKT-00047,17B,EXECUTIVA,2025-11-08 00:56:19+00:00
48,TKT-00048,34F,EXECUTIVA,2025-10-22 05:21:14+00:00
49,TKT-00049,25D,ECONOMICA,2025-09-12 20:37:08+00:00
50,TKT-00050,2E,EXECUTIVA,2025-10-15 06:16:55+00:00
51,TKT-00051,3D,EXECUTIVA,2026-03-01 17:23:12+00:00
52,TKT-00052,37C,EXECUTIVA,2025-07-12 01:15:30+00:00
53,TKT-00053,19E,EXECUTIVA,2026-03-27 06:21:47+00:00
54,TKT-00054,37B,ECONOMICA,2025-12-18 09:15:07+00:00
55,TKT-00055,30D,ECONOMICA,2025-08-27 17:30:20+00:00
56,TKT-00056,14C,EXECUTIVA,2025-06-16 01:37:24+00:00
57,TKT-00057,11A,EXECUTIVA,2026-05-19 08:00:23+00:00
58,TKT-00058,29C,EXECUTIVA,2025-11-27 11:28:25+00:00
59,TKT-00059,5D,EXECUTIVA,2026-01-21 20:06:45+00:00
60,TKT-00060,8D,PRIMEIRA_CLASSE,2025-08-31 07:14:31+00:00
61,TKT-00061,21D,PRIMEIRA_CLASSE,2025-10-28 11:02:38+00:00
62,TKT-00062,16C,ECONOMICA,2025-10-17 04:11:19+00:00
63,TKT-00063,15F,EXECUTIVA,2025-07-11 15:38:55+00:00
64,TKT-00064,1E,ECONOMICA,2026-05-01 03:17:04+00:00
65,TKT-00065,39D,PRIMEIRA_CLASSE,2025-08-13 16:01:52+00:00
66,TKT-00066,35E,EXECUTIVA,2026-02-25 20:13:44+00:00
67,TKT-00067,24D,PRIMEIRA_CLASSE,2025-12-07 16:50:57+00:00
68,TKT-00068,36A,EXECUTIVA,2026-02-22 07:04:01+00:00
69,TKT-00069,31A,ECONOMICA,2026-01-11 09:20:02+00:00
70,TKT-00070,18D,PRIMEIRA_CLASSE,2026-03-19 22:09:29+00:00
71,TKT-00071,8D,ECONOMICA,2026-05-28 00:13:51+00:00
72,TKT-00072,5A,EXECUTIVA,2026-01-23 19:27:39+00:00
73,TKT-00073,12A,PRIMEIRA_CLASSE,2025-09-11 11:50:09+00:00
74,TKT-00074,34B,ECONOMICA,2025-12-22 06:26:49+00:00
75,TKT-00075,40D,ECONOMICA,2026-05-29 09:02:34+00:00
76,TKT-00076,36D,ECONOMICA,2025-10-11 12:28:57+00:00
77,TKT-00077,16D,PRIMEIRA_CLASSE,2026-03-18 09:01:57+00:00
78,TKT-00078,32D,PRIMEIRA_CLASSE,2025-09-29 23:22:07+00:00
79,TKT-00079,1A,EXECUTIVA,2025-09-24 11:04:26+00:00
80,TKT-00080,24B,PRIMEIRA_CLASSE,2025-11-17 23:29:02+00:00
81,TKT-00081,23D,PRIMEIRA_CLASSE,2026-02-19 02:08:31+00:00
82,TKT-00082,18A,EXECUTIVA,2025-07-30 13:37:56+00:00
83,TKT-00083,22F,PRIMEIRA_CLASSE,2026-02-27 06:20:14+00:00
84,TKT-00084,9F,PRIMEIRA_CLASSE,2026-02-24 00:18:38+00:00
85,TKT-00085,29D,PRIMEIRA_CLASSE,2025-10-22 19:28:51+00:00
86,TKT-00086,27A,PRIMEIRA_CLASSE,2025-10-19 04:58:32+00:00
87,TKT-00087,25A,ECONOMICA,2025-11-17 11:19:34+00:00
88,TKT-00088,19B,EXECUTIVA,2026-04-18 03:29:48+00:00
89,TKT-00089,14B,EXECUTIVA,2026-05-06 20:10:09+00:00
90,TKT-00090,32E,ECONOMICA,2026-02-14 12:40:59+00:00
91,TKT-00091,29F,PRIMEIRA_CLASSE,2025-08-23 04:38:31+00:00
92,TKT-00092,25A,ECONOMICA,2025-10-15 14:02:56+00:00
93,TKT-00093,12E,EXECUTIVA,2025-11-18 23:37:47+00:00
94,TKT-00094,25B,EXECUTIVA,2025-10-05 22:10:34+00:00
95,TKT-00095,20D,EXECUTIVA,2025-10-19 17:35:21+00:00
96,TKT-00096,21A,EXECUTIVA,2025-12-28 08:40:06+00:00
97,TKT-00097,27E,ECONOMICA,2025-08-02 15:56:25+00:00
98,TKT-00098,25D,EXECUTIVA,2025-09-21 08:01:02+00:00
99,TKT-00099,16B,EXECUTIVA,2025-08-25 22:02:24+00:00
100,TKT-00100,22C,ECONOMICA,2025-06-11 12:56:45+00:00
101,TKT-00101,34B,ECONOMICA,2025-10-20 23:19:31+00:00
102,TKT-00102,33A,PRIMEIRA_CLASSE,2026-05-25 11:58:04+00:00
103,TKT-00103,33A,PRIMEIRA_CLASSE,2025-08-10 02:59:01+00:00
104,TKT-00104,13D,ECONOMICA,2026-04-05 22:53:01+00:00
105,TKT-00105,33C,PRIMEIRA_CLASSE,2025-06-09 07:02:04+00:00
106,TKT-00106,23B,ECONOMICA,2026-05-16 12:41:51+00:00
107,TKT-00107,37D,PRIMEIRA_CLASSE,2026-01-31 19:24:09+00:00
108,TKT-00108,33F,PRIMEIRA_CLASSE,2026-03-08 09:42:02+00:00
109,TKT-00109,19E,ECONOMICA,2025-11-03 11:48:53+00:00
110,TKT-00110,35A,ECONOMICA,2026-02-07 16:29:06+00:00
111,TKT-00111,40B,ECONOMICA,2025-12-03 06:26:08+00:00
112,TKT-00112,37D,PRIMEIRA_CLASSE,2025-09-05 22:34:38+00:00
113,TKT-00113,25D,EXECUTIVA,2025-09-03 23:21:30+00:00
114,TKT-00114,12C,PRIMEIRA_CLASSE,2026-04-21 10:23:21+00:00
115,TKT-00115,22B,PRIMEIRA_CLASSE,2025-11-24 07:51:03+00:00
116,TKT-00116,19C,EXECUTIVA,2026-04-11 18:36:47+00:00
117,TKT-00117,36E,EXECUTIVA,2025-08-29 22:10:43+00:00
118,TKT-00118,7E,ECONOMICA,2025-08-17 05:05:07+00:00
119,TKT-00119,7D,EXECUTIVA,2025-12-23 07:45:57+00:00
120,TKT-00120,28B,EXECUTIVA,2025-12-23 09:16:18+00:00
121,TKT-00121,3E,EXECUTIVA,2025-10-31 01:16:21+00:00
122,TKT-00122,10F,PRIMEIRA_CLASSE,2026-04-05 06:17:17+00:00
123,TKT-00123,2D,EXECUTIVA,2025-07-28 18:36:31+00:00
124,TKT-00124,21C,EXECUTIVA,2025-07-06 01:49:55+00:00
125,TKT-00125,7A,ECONOMICA,2025-07-15 17:29:38+00:00
126,TKT-00126,7B,PRIMEIRA_CLASSE,2025-06-30 19:03:14+00:00
127,TKT-00127,7F,PRIMEIRA_CLASSE,2025-10-12 18:51:06+00:00
128,TKT-00128,21B,EXECUTIVA,2025-10-25 03:53:34+00:00
129,TKT-00129,1F,PRIMEIRA_CLASSE,2025-11-11 05:20:11+00:00
130,TKT-00130,40A,EXECUTIVA,2026-01-23 04:38:21+00:00
131,TKT-00131,18B,ECONOMICA,2025-07-09 17:57:06+00:00
132,TKT-00132,25D,ECONOMICA,2026-04-10 23:07:01+00:00
133,TKT-00133,24E,EXECUTIVA,2025-10-14 20:01:54+00:00
134,TKT-00134,10C,ECONOMICA,2025-08-21 14:37:46+00:00
135,TKT-00135,9D,ECONOMICA,2025-09-28 10:53:21+00:00
136,TKT-00136,2E,PRIMEIRA_CLASSE,2025-09-12 21:10:45+00:00
137,TKT-00137,32D,EXECUTIVA,2025-09-13 23:02:50+00:00
138,TKT-00138,30B,EXECUTIVA,2026-03-29 19:50:36+00:00
139,TKT-00139,4E,EXECUTIVA,2026-05-14 09:02:02+00:00
140,TKT-00140,1F,ECONOMICA,2025-09-19 12:58:59+00:00
141,TKT-00141,2C,EXECUTIVA,2025-11-27 09:09:17+00:00
142,TKT-00142,39D,PRIMEIRA_CLASSE,2025-06-09 19:52:06+00:00
143,TKT-00143,25C,EXECUTIVA,2026-02-27 06:02:29+00:00
144,TKT-00144,5E,EXECUTIVA,2026-03-23 01:24:52+00:00
145,TKT-00145,30A,ECONOMICA,2025-09-05 06:59:11+00:00
146,TKT-00146,28D,PRIMEIRA_CLASSE,2026-04-24 01:31:10+00:00
147,TKT-00147,14F,PRIMEIRA_CLASSE,2025-08-19 17:43:34+00:00
148,TKT-00148,35D,PRIMEIRA_CLASSE,2026-02-19 08:32:54+00:00
149,TKT-00149,1E,PRIMEIRA_CLASSE,2025-12-12 17:28:28+00:00
150,TKT-00150,30F,ECONOMICA,2025-08-17 07:51:00+00:00
151,TKT-00151,3C,PRIMEIRA_CLASSE,2025-06-08 14:06:52+00:00
152,TKT-00152,25A,ECONOMICA,2025-10-07 06:02:51+00:00
153,TKT-00153,5B,EXECUTIVA,2025-07-30 05:48:04+00:00
154,TKT-00154,10F,PRIMEIRA_CLASSE,2025-08-04 12:14:53+00:00
155,TKT-00155,21D,PRIMEIRA_CLASSE,2025-07-25 20:41:33+00:00
156,TKT-00156,36E,EXECUTIVA,2025-10-06 18:59:54+00:00
157,TKT-00157,13C,EXECUTIVA,2025-07-31 04:04:38+00:00
158,TKT-00158,14E,EXECUTIVA,2025-09-04 00:11:41+00:00
159,TKT-00159,14D,PRIMEIRA_CLASSE,2025-09-28 23:01:57+00:00
160,TKT-00160,8F,PRIMEIRA_CLASSE,2026-01-04 19:50:25+00:00
161,TKT-00161,29B,EXECUTIVA,2025-06-30 15:23:47+00:00
162,TKT-00162,22E,ECONOMICA,2025-09-03 19:58:12+00:00
163,TKT-00163,16D,EXECUTIVA,2025-10-10 15:45:16+00:00
164,TKT-00164,11C,ECONOMICA,2025-06-13 03:29:56+00:00
165,TKT-00165,39F,PRIMEIRA_CLASSE,2026-02-13 08:05:54+00:00
166,TKT-00166,38D,ECONOMICA,2026-05-25 05:14:26+00:00
167,TKT-00167,37A,EXECUTIVA,2025-10-04 04:48:47+00:00
168,TKT-00168,18C,PRIMEIRA_CLASSE,2025-11-09 22:42:29+00:00
169,TKT-00169,19B,ECONOMICA,2026-02-13 17:19:18+00:00
170,TKT-00170,37F,EXECUTIVA,2026-03-15 22:50:02+00:00
171,TKT-00171,1F,PRIMEIRA_CLASSE,2026-01-04 19:41:39+00:00
172,TKT-00172,37F,EXECUTIVA,2026-03-27 00:17:36+00:00
173,TKT-00173,30C,EXECUTIVA,2026-05-07 16:39:00+00:00
174,TKT-00174,17C,ECONOMICA,2025-08-12 05:19:54+00:00
175,TKT-00175,18E,ECONOMICA,2025-11-09 01:32:58+00:00
176,TKT-00176,14F,PRIMEIRA_CLASSE,2026-02-11 14:50:57+00:00
177,TKT-00177,31D,PRIMEIRA_CLASSE,2025-08-17 04:35:24+00:00
178,TKT-00178,16C,PRIMEIRA_CLASSE,2026-05-06 16:31:24+00:00
179,TKT-00179,23C,PRIMEIRA_CLASSE,2026-05-21 03:31:33+00:00
180,TKT-00180,31A,PRIMEIRA_CLASSE,2025-07-30 09:09:08+00:00
181,TKT-00181,28B,EXECUTIVA,2026-01-03 14:59:03+00:00
182,TKT-00182,33C,PRIMEIRA_CLASSE,2025-07-23 06:33:30+00:00
183,TKT-00183,16F,PRIMEIRA_CLASSE,2026-04-01 21:12:09+00:00
184,TKT-00184,28D,ECONOMICA,2025-06-23 00:23:57+00:00
185,TKT-00185,25B,EXECUTIVA,2025-11-28 15:48:50+00:00
186,TKT-00186,38B,PRIMEIRA_CLASSE,2025-06-07 22:59:10+00:00
187,TKT-00187,9B,PRIMEIRA_CLASSE,2025-11-04 03:44:05+00:00
188,TKT-00188,23E,ECONOMICA,2025-12-01 14:07:11+00:00
189,TKT-00189,18E,EXECUTIVA,2026-05-28 19:02:38+00:00
190,TKT-00190,13F,PRIMEIRA_CLASSE,2025-08-14 03:37:35+00:00
191,TKT-00191,2D,EXECUTIVA,2025-06-22 01:52:29+00:00
192,TKT-00192,2E,EXECUTIVA,2026-02-17 17:26:53+00:00
193,TKT-00193,4A,EXECUTIVA,2025-06-24 18:14:32+00:00
194,TKT-00194,20D,PRIMEIRA_CLASSE,2025-06-10 15:00:14+00:00
195,TKT-00195,19D,ECONOMICA,2025-11-28 05:51:29+00:00
196,TKT-00196,31C,PRIMEIRA_CLASSE,2026-01-03 05:44:03+00:00
197,TKT-00197,12C,EXECUTIVA,2025-07-12 05:09:35+00:00
198,TKT-00198,15E,ECONOMICA,2025-10-30 09:13:14+00:00
199,TKT-00199,37E,EXECUTIVA,2026-04-05 07:53:41+00:00
200,TKT-00200,31C,EXECUTIVA,2026-02-22 06:09:20+00:00
201,TKT-00201,4B,EXECUTIVA,2025-07-18 20:58:38+00:00
202,TKT-00202,7A,EXECUTIVA,2025-07-04 08:44:07+00:00
203,TKT-00203,29B,ECONOMICA,2026-02-18 16:35:29+00:00
204,TKT-00204,1F,PRIMEIRA_CLASSE,2026-04-04 00:54:30+00:00
205,TKT-00205,26F,ECONOMICA,2026-05-31 09:24:18+00:00
206,TKT-00206,22B,PRIMEIRA_CLASSE,2026-02-24 07:21:32+00:00
207,TKT-00207,2F,PRIMEIRA_CLASSE,2025-06-14 02:59:25+00:00
208,TKT-00208,39A,EXECUTIVA,2026-03-15 15:39:16+00:00
209,TKT-00209,35B,EXECUTIVA,2026-01-25 23:18:03+00:00
210,TKT-00210,22E,EXECUTIVA,2026-02-11 02:17:21+00:00
211,TKT-00211,34B,EXECUTIVA,2025-09-29 15:10:20+00:00
212,TKT-00212,14E,ECONOMICA,2026-01-04 21:07:37+00:00
213,TKT-00213,24B,EXECUTIVA,2025-08-26 23:55:15+00:00
214,TKT-00214,33C,ECONOMICA,2025-12-02 09:39:19+00:00
215,TKT-00215,1E,PRIMEIRA_CLASSE,2025-06-08 02:38:37+00:00
216,TKT-00216,10A,PRIMEIRA_CLASSE,2026-03-07 00:35:09+00:00
217,TKT-00217,24D,ECONOMICA,2025-07-28 17:13:28+00:00
218,TKT-00218,37B,EXECUTIVA,2026-01-13 06:48:35+00:00
219,TKT-00219,35C,ECONOMICA,2025-10-02 19:41:09+00:00
220,TKT-00220,39B,ECONOMICA,2025-08-04 00:28:37+00:00
221,TKT-00221,24F,ECONOMICA,2025-07-17 07:30:29+00:00
222,TKT-00222,3F,EXECUTIVA,2025-07-23 06:50:05+00:00
223,TKT-00223,19E,ECONOMICA,2025-08-10 22:39:42+00:00
224,TKT-00224,11E,EXECUTIVA,2026-02-07 09:05:17+00:00
225,TKT-00225,33C,EXECUTIVA,2025-07-09 23:12:04+00:00
226,TKT-00226,27B,EXECUTIVA,2026-05-06 02:32:28+00:00
227,TKT-00227,27C,PRIMEIRA_CLASSE,2025-10-18 01:58:06+00:00
228,TKT-00228,19E,EXECUTIVA,2026-01-24 22:54:33+00:00
229,TKT-00229,12E,ECONOMICA,2025-08-14 16:20:45+00:00
230,TKT-00230,34B,ECONOMICA,2026-03-18 02:53:09+00:00
231,TKT-00231,36F,EXECUTIVA,2025-07-04 15:54:02+00:00
232,TKT-00232,31C,ECONOMICA,2025-09-19 01:04:14+00:00
233,TKT-00233,37B,PRIMEIRA_CLASSE,2025-11-01 23:04:51+00:00
234,TKT-00234,13F,ECONOMICA,2025-10-07 23:51:48+00:00
235,TKT-00235,32D,EXECUTIVA,2026-04-20 08:24:40+00:00
236,TKT-00236,23E,EXECUTIVA,2025-10-24 15:43:24+00:00
237,TKT-00237,3F,ECONOMICA,2025-12-25 23:43:14+00:00
238,TKT-00238,21F,ECONOMICA,2025-08-12 08:37:55+00:00
239,TKT-00239,20F,PRIMEIRA_CLASSE,2025-11-12 02:19:31+00:00
240,TKT-00240,9A,EXECUTIVA,2025-11-11 01:09:46+00:00
241,TKT-00241,16E,PRIMEIRA_CLASSE,2025-08-03 22:59:25+00:00
242,TKT-00242,10A,ECONOMICA,2026-01-21 15:26:14+00:00
243,TKT-00243,13E,PRIMEIRA_CLASSE,2026-01-20 11:37:00+00:00
244,TKT-00244,26E,ECONOMICA,2025-09-17 20:40:00+00:00
245,TKT-00245,34A,EXECUTIVA,2026-06-01 08:59:50+00:00
246,TKT-00246,1B,PRIMEIRA_CLASSE,2025-11-26 01:21:46+00:00
247,TKT-00247,8A,EXECUTIVA,2025-06-10 05:41:12+00:00
248,TKT-00248,9C,EXECUTIVA,2025-08-28 07:23:09+00:00
249,TKT-00249,3D,EXECUTIVA,2025-06-28 15:25:50+00:00
250,TKT-00250,14B,PRIMEIRA_CLASSE,2025-09-01 21:31:31+00:00
251,TKT-00251,2C,PRIMEIRA_CLASSE,2025-07-30 07:15:48+00:00
252,TKT-00252,40F,EXECUTIVA,2026-04-06 00:52:22+00:00
253,TKT-00253,16F,ECONOMICA,2026-01-03 20:37:33+00:00
254,TKT-00254,1E,PRIMEIRA_CLASSE,2026-06-01 08:16:37+00:00
255,TKT-00255,3A,ECONOMICA,2026-05-01 08:12:02+00:00
256,TKT-00256,36D,EXECUTIVA,2025-07-27 19:49:09+00:00
257,TKT-00257,5B,PRIMEIRA_CLASSE,2026-02-04 21:20:32+00:00
258,TKT-00258,29A,EXECUTIVA,2025-08-25 19:08:31+00:00
259,TKT-00259,18F,EXECUTIVA,2026-05-09 05:56:25+00:00
260,TKT-00260,4F,PRIMEIRA_CLASSE,2026-01-20 20:42:07+00:00
261,TKT-00261,21F,ECONOMICA,2025-07-24 00:09:13+00:00
262,TKT-00262,15F,ECONOMICA,2025-09-17 01:39:49+00:00
263,TKT-00263,1E,PRIMEIRA_CLASSE,2025-06-10 15:14:47+00:00
264,TKT-00264,31D,ECONOMICA,2026-01-17 08:01:35+00:00
265,TKT-00265,13A,PRIMEIRA_CLASSE,2026-03-31 23:58:03+00:00
266,TKT-00266,18E,EXECUTIVA,2026-05-13 07:30:57+00:00
267,TKT-00267,36A,ECONOMICA,2025-12-17 21:49:28+00:00
268,TKT-00268,38C,ECONOMICA,2025-10-09 23:34:04+00:00
269,TKT-00269,11B,PRIMEIRA_CLASSE,2026-03-20 10:00:04+00:00
270,TKT-00270,3C,PRIMEIRA_CLASSE,2025-07-17 19:10:04+00:00
271,TKT-00271,40E,EXECUTIVA,2025-09-09 23:05:06+00:00
272,TKT-00272,11D,EXECUTIVA,2025-09-03 23:45:16+00:00
273,TKT-00273,28F,ECONOMICA,2025-07-08 06:45:05+00:00
274,TKT-00274,32E,PRIMEIRA_CLASSE,2025-10-31 20:04:27+00:00
275,TKT-00275,14C,ECONOMICA,2026-05-13 20:36:51+00:00
276,TKT-00276,28F,EXECUTIVA,2025-09-13 06:51:43+00:00
277,TKT-00277,25C,EXECUTIVA,2026-04-28 06:18:59+00:00
278,TKT-00278,30D,ECONOMICA,2026-01-13 20:20:03+00:00
279,TKT-00279,29F,ECONOMICA,2025-06-29 19:22:15+00:00
280,TKT-00280,19E,ECONOMICA,2025-09-05 20:15:58+00:00
281,TKT-00281,19D,ECONOMICA,2026-04-09 17:20:35+00:00
282,TKT-00282,20A,ECONOMICA,2026-04-01 08:27:12+00:00
283,TKT-00283,34D,ECONOMICA,2026-03-05 23:19:46+00:00
284,TKT-00284,32F,ECONOMICA,2025-09-24 10:12:10+00:00
285,TKT-00285,15E,EXECUTIVA,2025-09-19 10:15:19+00:00
286,TKT-00286,1D,ECONOMICA,2025-06-08 12:07:12+00:00
287,TKT-00287,38E,ECONOMICA,2025-09-28 14:49:53+00:00
288,TKT-00288,21C,ECONOMICA,2026-01-22 21:06:24+00:00
289,TKT-00289,10E,ECONOMICA,2026-03-25 15:56:47+00:00
290,TKT-00290,26C,EXECUTIVA,2025-10-28 15:18:59+00:00
291,TKT-00291,36F,PRIMEIRA_CLASSE,2025-08-18 21:49:32+00:00
292,TKT-00292,3F,PRIMEIRA_CLASSE,2025-09-10 22:46:54+00:00
293,TKT-00293,12A,EXECUTIVA,2025-07-17 12:29:18+00:00
294,TKT-00294,36E,PRIMEIRA_CLASSE,2026-03-08 14:58:13+00:00
295,TKT-00295,29B,PRIMEIRA_CLASSE,2025-12-15 16:27:40+00:00
296,TKT-00296,26C,PRIMEIRA_CLASSE,2025-11-06 15:45:32+00:00
297,TKT-00297,31A,PRIMEIRA_CLASSE,2026-01-17 20:22:05+00:00
298,TKT-00298,40A,EXECUTIVA,2026-03-17 21:08:59+00:00
299,TKT-00299,18A,EXECUTIVA,2026-01-04 21:41:48+00:00
