passageiro_id,voo_id,categoria_tarifa_id,codigo_reserva,data_reserva,preco_total,status
3633,3391,997,G0RM8J,2025-11-16 19:13:54+00:00,727.24,NO_SHOW
3183,1167,890,0QZMW4,2025-08-23 20:30:16+00:00,3108.29,CANCELADA
2318,4952,3,RDIHRI,2025-09-28 00:57:00+00:00,1206.61,PENDENTE
3918,1796,829,XLT2I0,2025-07-27 06:02:42+00:00,5107.16,CONFIRMADA
1969,3767,889,VNRXVR,2026-05-07 20:01:18+00:00,1445.4,NO_SHOW
530,3352,541,BSWXX8,2025-08-21 23:52:25+00:00,967.79,CONFIRMADA
2445,1137,619,VYC08W,2025-06-15 15:42:02+00:00,1005.84,PENDENTE
2937,714,56,RONWVM,2026-02-02 02:32:22+00:00,130.04,PENDENTE
1028,352,821,FUQV49,2026-01-22 18:47:13+00:00,2376.28,CONFIRMADA
2706,686,457,HW8ZRU,2025-11-25 00:00:17+00:00,1447.31,NO_SHOW
4285,2109,83,1W00FF,2025-12-23 03:42:58+00:00,2049.41,CANCELADA
2939,4689,1,2LUE0K,2025-07-20 15:28:42+00:00,163.14,EMBARCADA
1882,1297,473,JEHAM9,2025-07-18 03:50:46+00:00,921.23,CONFIRMADA
1854,620,202,DO3TEU,2026-06-02 04:27:49+00:00,862.85,CONFIRMADA
489,4662,782,48QGPT,2026-01-14 01:29:43+00:00,1606.98,NO_SHOW
4587,2670,149,KRL3UB,2026-03-19 03:55:54+00:00,3328.96,PENDENTE
3110,1427,650,RNMKDY,2026-03-23 15:53:24+00:00,3866.19,NO_SHOW
3546,3487,466,SO6Z5K,2026-04-18 13:07:33+00:00,497.44,CANCELADA
4084,3410,776,1RCFNX,2025-09-12 08:23:23+00:00,1846.31,EMBARCADA
2019,3486,305,03MS3X,2025-10-20 05:36:21+00:00,4055.74,CONFIRMADA
3902,2184,951,99EY0V,2025-09-12 08:20:34+00:00,3341.45,NO_SHOW
3188,3130,526,31F2LQ,2026-03-06 09:12:34+00:00,3334.85,EMBARCADA
1259,4741,600,ME7WHG,2025-09-16 18:27:59+00:00,139.0,CANCELADA
3925,4021,751,VBRBH7,2025-12-19 02:07:48+00:00,3669.19,NO_SHOW
2076,2977,123,MCVGNK,2025-12-30 07:30:21+00:00,2552.74,EMBARCADA
3310,4528,859,P2SRWL,2025-06-19 10:27:10+00:00,1140.82,CONFIRMADA
1423,1789,47,0Y0PAB,2025-12-30 08:18:16+00:00,1375.16,CONFIRMADA
253,1915,658,M5M0MG,2026-04-25 18:51:01+00:00,990.05,CONFIRMADA
643,1624,59,BUAPMH,2026-05-26 20:37:40+00:00,557.49,CONFIRMADA
1613,1373,797,WO1B7X,2026-02-23 00:44:20+00:00,1081.44,PENDENTE
1667,3022,195,RD00QB,2025-12-06 23:24:13+00:00,294.63,CANCELADA
3803,4628,191,XKAMN2,2025-08-31 16:35:49+00:00,4002.48,CANCELADA
3643,3847,383,UGYWXZ,2026-03-20 22:29:14+00:00,2423.13,NO_SHOW
1365,1301,299,Y5ROD2,2025-10-31 16:35:59+00:00,1544.71,EMBARCADA
4842,679,975,L7ZZKN,2025-06-29 02:02:56+00:00,310.71,CANCELADA
730,4238,232,YVY0MR,2025-08-12 18:34:21+00:00,8246.76,PENDENTE
1630,4001,34,2UPMLJ,2026-02-03 09:20:40+00:00,1279.65,CONFIRMADA
1742,2418,338,39GDT9,2025-11-13 15:04:09+00:00,762.99,NO_SHOW
2967,4634,197,310FVV,2026-04-28 19:56:11+00:00,927.93,CANCELADA
394,547,28,Y6JGJU,2025-07-12 19:21:38+00:00,6746.1,CANCELADA
4376,4287,734,2NT7L4,2025-08-11 15:50:31+00:00,1353.04,CONFIRMADA
3004,3885,23,JGMK6S,2026-03-10 20:55:43+00:00,1525.45,EMBARCADA
1746,711,944,INKLUE,2025-11-07 07:07:22+00:00,1833.93,PENDENTE
3185,3711,14,DE7DDE,2026-04-09 02:47:48+00:00,1491.52,EMBARCADA
3574,528,207,6IVHE6,2025-08-17 06:41:23+00:00,5260.66,CONFIRMADA
1347,1793,828,7B15L1,2026-01-12 12:08:58+00:00,9136.42,NO_SHOW
4847,3345,215,SMW813,2025-12-25 15:08:21+00:00,1107.99,NO_SHOW
1564,3706,66,TQ96DJ,2025-08-16 23:19:28+00:00,3343.68,CONFIRMADA
160,2624,180,NEZKB6,2025-08-19 01:11:41+00:00,2605.2,CONFIRMADA
3942,4288,610,VD1RLZ,2025-10-26 12:31:52+00:00,2385.73,CONFIRMADA
2323,30,1,XRRT32,2025-06-26 02:46:20+00:00,693.93,CANCELADA
3033,3290,22,AQO2IB,2025-09-12 12:49:05+00:00,147.95,PENDENTE
4790,4156,953,9S1V1Z,2026-04-20 16:37:45+00:00,230.12,CANCELADA
272,2848,163,CQE1C6,2026-03-07 13:22:11+00:00,1194.26,EMBARCADA
3157,1124,686,JJSA4R,2026-01-23 08:32:08+00:00,2603.59,NO_SHOW
987,664,634,5BLW0A,2025-08-28 02:40:48+00:00,1639.22,CANCELADA
3918,1219,507,CHSVJB,2025-10-31 14:43:14+00:00,4410.49,EMBARCADA
3556,4340,633,4GG9XS,2025-12-04 00:16:22+00:00,175.22,EMBARCADA
3702,1154,90,KCB6BP,2025-11-23 08:18:12+00:00,2544.4,EMBARCADA
4885,4659,423,2FSNZH,2025-11-30 10:34:59+00:00,620.66,CANCELADA
1988,4516,297,JLPTMZ,2025-11-16 14:17:46+00:00,953.23,CONFIRMADA
1454,4209,830,X9NY78,2025-08-24 10:13:33+00:00,1714.49,EMBARCADA
2305,1518,47,I3Q2J4,2026-03-20 15:14:48+00:00,1829.9,NO_SHOW
2674,1254,198,AE13N2,2026-05-12 09:58:30+00:00,796.91,CONFIRMADA
1276,3624,305,YQRIJR,2026-01-25 08:07:48+00:00,4973.69,NO_SHOW
2233,4585,84,OTDWT9,2025-12-29 03:43:19+00:00,3822.53,EMBARCADA
983,3358,962,UHZZLZ,2025-10-10 16:53:49+00:00,1975.38,NO_SHOW
3167,3277,253,DG9YX4,2025-12-03 18:58:43+00:00,251.94,CONFIRMADA
2658,1481,263,IECDY7,2026-04-22 10:10:06+00:00,1079.89,EMBARCADA
3695,2862,150,V0I046,2025-07-24 14:53:11+00:00,1261.89,CONFIRMADA
3901,1655,987,TFSOIA,2025-11-19 21:17:02+00:00,543.73,EMBARCADA
184,1928,827,FTN7YS,2025-07-31 19:21:41+00:00,1305.57,CANCELADA
3775,4161,966,WFW5PK,2025-11-09 02:05:55+00:00,5727.85,PENDENTE
4808,4341,898,ZSMM8Z,2025-06-21 17:15:03+00:00,169.69,PENDENTE
4825,887,199,PRLM7T,2025-10-26 19:42:56+00:00,1799.2,CANCELADA
4868,1695,986,BP5F24,2025-11-14 20:57:26+00:00,4773.56,PENDENTE
3875,3709,272,F5T2MA,2025-06-30 03:05:20+00:00,5909.17,PENDENTE
2268,772,454,G2J4OJ,2025-09-17 06:13:08+00:00,323.12,PENDENTE
2007,2082,76,HT82GQ,2025-07-19 00:11:00+00:00,1810.56,NO_SHOW
3403,262,213,LOY0GM,2026-01-05 11:14:13+00:00,638.07,PENDENTE
2445,1771,306,HPKR5J,2026-01-28 10:32:45+00:00,3879.62,CANCELADA
4256,536,942,3HMJHW,2025-07-31 12:03:38+00:00,86.25,EMBARCADA
1574,4378,820,IMJKWY,2025-08-28 08:55:28+00:00,333.61,EMBARCADA
4564,286,196,JJFH49,2025-09-28 15:11:51+00:00,770.2,EMBARCADA
4547,4685,46,PWOWPK,2025-06-28 17:06:19+00:00,6154.2,NO_SHOW
2124,2302,63,FQ1262,2026-02-03 05:36:44+00:00,284.86,CONFIRMADA
3320,3770,786,BZBONG,2026-03-19 00:22:05+00:00,6129.13,NO_SHOW
2549,1316,620,6DESOG,2025-06-29 01:29:12+00:00,2180.22,CANCELADA
4932,4295,43,U0JZR0,2025-07-07 12:05:22+00:00,700.99,NO_SHOW
4399,3027,336,8UJWUR,2026-01-14 22:21:31+00:00,1555.21,CONFIRMADA
1004,3277,804,RHM9UJ,2026-03-28 02:39:13+00:00,676.78,CANCELADA
2297,320,388,6IJ7ME,2026-02-04 15:26:58+00:00,8094.33,PENDENTE
541,2671,781,2GCR67,2025-11-08 23:06:32+00:00,865.54,PENDENTE
765,2694,9,KYJZ9A,2026-03-07 00:01:09+00:00,2371.65,NO_SHOW
4961,202,701,IC0QC8,2026-05-10 17:29:43+00:00,1435.15,CONFIRMADA
4027,4305,874,7MW89H,2025-08-06 04:23:20+00:00,210.26,NO_SHOW
2224,2943,962,KLSRE4,2026-01-09 08:18:12+00:00,439.36,EMBARCADA
143,1917,927,H52G0F,2026-02-26 05:53:32+00:00,848.85,CONFIRMADA
1850,3887,886,VATH8T,2026-03-06 12:25:51+00:00,5449.48,EMBARCADA
899,1220,350,K4ZXP3,2026-01-15 20:47:03+00:00,2627.63,PENDENTE
3295,2402,331,R6VCBX,2025-08-07 03:00:40+00:00,1915.55,CANCELADA
938,511,127,6OO57C,2025-12-26 08:18:44+00:00,5611.76,CANCELADA
4810,1668,177,K616CN,2026-02-18 15:00:01+00:00,726.09,CONFIRMADA
3074,3479,990,325YK5,2025-10-02 02:24:42+00:00,465.81,PENDENTE
3507,4401,482,C45O7G,2026-05-06 01:08:20+00:00,68.25,CONFIRMADA
1890,2303,166,9CBKX1,2025-08-01 19:46:29+00:00,3064.08,CANCELADA
4665,2269,45,VVZ3MI,2025-10-10 19:01:25+00:00,5572.59,CONFIRMADA
2916,1822,622,1A0793,2025-06-22 10:37:37+00:00,1590.94,PENDENTE
2805,1339,755,76YM57,2025-12-22 15:57:58+00:00,542.34,PENDENTE
1339,4751,92,R4J8EJ,2026-04-06 22:42:59+00:00,6838.84,CONFIRMADA
3466,2456,940,WQXV68,2025-12-08 09:36:41+00:00,2170.41,CONFIRMADA
413,4310,116,MEEE8D,2025-11-12 16:19:41+00:00,1313.83,CANCELADA
313,4340,43,7883BM,2025-09-01 20:53:05+00:00,405.99,PENDENTE
4965,3870,244,PFQ5OS,2026-01-23 17:34:02+00:00,869.01,EMBARCADA
4963,3491,509,KCTX4D,2025-11-24 10:08:43+00:00,10358.65,EMBARCADA
3123,2897,420,URHC0C,2026-04-12 08:10:20+00:00,75.44,NO_SHOW
3492,3621,381,UOS1NN,2026-05-08 23:49:20+00:00,1622.19,CANCELADA
4792,2425,921,P9YQBF,2026-02-08 11:32:23+00:00,406.77,CONFIRMADA
2179,2024,820,8G99DD,2025-07-10 01:49:18+00:00,878.31,NO_SHOW
3454,45,569,HXA3QG,2026-01-27 07:46:43+00:00,1982.31,EMBARCADA
1876,3751,816,AJ0ILX,2026-03-02 19:39:10+00:00,1431.37,PENDENTE
2314,774,782,0HZSYF,2026-05-08 11:26:38+00:00,808.17,CONFIRMADA
3407,3947,608,0GZCRN,2025-07-17 17:52:54+00:00,3044.39,CONFIRMADA
1860,3762,984,V1B2LD,2025-06-16 01:56:07+00:00,1102.21,EMBARCADA
3522,303,455,GQNELD,2025-09-04 09:54:58+00:00,861.98,EMBARCADA
3582,689,933,TBPIED,2026-04-15 20:47:44+00:00,1372.12,CONFIRMADA
