codigo,descricao,cor_hex,ordem_exibicao
PROGRAMADO,Voo programado aguardando execução,#3498DB,1
EMBARQUE,Embarque de passageiros em andamento,#F39C12,2
EM_VOO,Aeronave em voo,#27AE60,3
ATERRISSADO,Aeronave aterrissou no destino,#2ECC71,4
CANCELADO,Voo cancelado,#E74C3C,5
ATRASADO,Voo com atraso,#E67E22,6
DESVIADO,Voo desviado para outro aeroporto,#9B59B6,7
TAXIANDO,Aeronave em taxiamento na pista,#1ABC9C,8
PORTAO_ABERTO,Portão de embarque aberto,#F1C40F,9
PORTAO_FECHADO,Portão de embarque fechado,#E74C3C,10
DECOLANDO,Aeronave em procedimento de decolagem,#3498DB,11
APROXIMACAO,Aeronave em aproximação final,#2980B9,12
MANUTENCAO,Voo suspenso por manutenção,#95A5A6,13
AGUARDANDO_PISTA,Aguardando liberação de pista,#D35400,14
CHECK_IN_ABERTO,Check-in disponível para passageiros,#16A085,15
CONCLUIDO,Voo concluído com sucesso,#27AE60,16
SUSPENSO,Voo suspenso temporariamente,#BDC3C7,17
REAGENDADO,Voo reagendado para nova data,#8E44AD,18
EMERGENCIA,Voo em situação de emergência,#C0392B,19
PRE_VOO,Preparação pré-voo em andamento,#2C3E50,20
PROGRAMADO_1,Variante 1 do status programado,#CC1A53,21
EMBARQUE_1,Variante 1 do status embarque,#8D6627,22
EM_VOO_1,Variante 1 do status em voo,#2E11F2,23
ATERRISSADO_1,Variante 1 do status aterrissado,#FA5C23,24
CANCELADO_1,Variante 1 do status cancelado,#52E132,25
ATRASADO_1,Variante 1 do status atrasado,#D8FD01,26
DESVIADO_1,Variante 1 do status desviado,#15D2BD,27
TAXIANDO_1,Variante 1 do status taxiando,#06B8D8,28
PORTAO_ABERTO_1,Variante 1 do status portao aberto,#31E220,29
PORTAO_FECHADO_1,Variante 1 do status portao fechado,#BB8451,30
DECOLANDO_1,Variante 1 do status decolando,#E540F5,31
APROXIMACAO_1,Variante 1 do status aproximacao,#36FD6A,32
MANUTENCAO_1,Variante 1 do status manutencao,#4BD7F9,33
AGUARDANDO_PIS_1,Variante 1 do status aguardando pista,#0F9B57,34
CHECK_IN_ABERT_1,Variante 1 do status check in aberto,#376394,35
CONCLUIDO_1,Variante 1 do status concluido,#AF78DD,36
SUSPENSO_1,Variante 1 do status suspenso,#1F217F,37
REAGENDADO_1,Variante 1 do status reagendado,#ED4A04,38
EMERGENCIA_1,Variante 1 do status emergencia,#2B3B10,39
PRE_VOO_1,Variante 1 do status pre voo,#6416B5,40
PROGRAMADO_2,Variante 2 do status programado,#15BC16,41
EMBARQUE_2,Variante 2 do status embarque,#D1324B,42
EM_VOO_2,Variante 2 do status em voo,#E7EAC8,43
ATERRISSADO_2,Variante 2 do status aterrissado,#340D9F,44
CANCELADO_2,Variante 2 do status cancelado,#7E35A4,45
ATRASADO_2,Variante 2 do status atrasado,#1B9690,46
DESVIADO_2,Variante 2 do status desviado,#EC8435,47
TAXIANDO_2,Variante 2 do status taxiando,#755842,48
