nome,aeroporto_id,capacidade_gates,tipo,ativo
Terminal W,3580,38,CARGA,False
T30,1284,43,MISTO,True
Terminal I,4901,42,DOMESTICO,True
Terminal P,4037,28,MISTO,True
T16,4878,18,MISTO,True
T13,2169,28,MISTO,True
T6,967,46,CARGA,True
T7,1619,12,CARGA,True
T2,4768,42,INTERNACIONAL,True
T2,3804,11,INTERNACIONAL,True
T29,3094,22,MISTO,True
T12,4377,10,CARGA,True
T12,4867,29,MISTO,True
Terminal H,2254,14,DOMESTICO,True
Terminal M,1273,21,INTERNACIONAL,True
T47,2674,20,MISTO,True
T45,1649,37,INTERNACIONAL,True
Terminal R,1762,17,MISTO,True
T6,2728,15,MISTO,True
Terminal U,4217,10,CARGA,True
T22,3968,21,INTERNACIONAL,True
T45,1812,2,DOMESTICO,True
T25,3824,6,DOMESTICO,True
T36,3744,2,DOMESTICO,True
Terminal O,731,7,MISTO,True
Terminal N,4329,42,CARGA,True
Terminal I,1736,24,INTERNACIONAL,True
T45,1315,6,DOMESTICO,True
T26,3791,23,DOMESTICO,True
T23,526,14,CARGA,True
Terminal C,2985,25,CARGA,True
Terminal R,4961,9,MISTO,True
T46,4945,7,DOMESTICO,False
T8,4738,20,INTERNACIONAL,False
T33,1140,33,INTERNACIONAL,True
T23,116,23,CARGA,True
T32,1197,43,CARGA,True
Terminal B,4536,42,INTERNACIONAL,True
Terminal V,1620,27,CARGA,True
Terminal M,1855,7,MISTO,True
T33,504,23,INTERNACIONAL,True
T35,4121,7,MISTO,True
T30,1524,48,MISTO,True
Terminal D,1809,26,MISTO,True
T11,918,14,INTERNACIONAL,True
Terminal I,4148,28,CARGA,True
T44,1101,48,MISTO,True
T20,419,36,MISTO,True
T6,2127,37,MISTO,True
Terminal R,2753,34,CARGA,True
T14,1327,23,CARGA,True
T50,4554,36,INTERNACIONAL,True
T18,2358,24,MISTO,False
Terminal T,2291,9,DOMESTICO,False
T50,2460,41,CARGA,True
T32,3877,35,MISTO,True
T1,3046,38,DOMESTICO,True
T44,3606,26,CARGA,True
Terminal W,3532,15,INTERNACIONAL,True
Terminal B,1977,4,INTERNACIONAL,True
Terminal Z,2878,40,MISTO,True
T22,1502,27,INTERNACIONAL,True
T2,3994,8,INTERNACIONAL,True
T14,1296,25,CARGA,True
T3,1008,8,DOMESTICO,True
Terminal P,2876,33,INTERNACIONAL,True
T46,2989,14,CARGA,True
T47,2409,42,INTERNACIONAL,True
T18,709,29,MISTO,True
T38,4532,37,CARGA,True
T4,561,22,INTERNACIONAL,True
T49,4207,7,DOMESTICO,True
T43,2283,13,MISTO,True
T2,3965,41,CARGA,True
Terminal Z,1632,9,CARGA,True
Terminal A,1264,43,INTERNACIONAL,True
T43,3447,44,CARGA,True
T35,1255,32,MISTO,True
T25,1821,44,CARGA,True
T50,387,30,MISTO,False
T23,3145,41,DOMESTICO,True
T44,1053,22,CARGA,True
T10,4632,20,DOMESTICO,True
T5,4685,15,DOMESTICO,True
Terminal L,687,22,CARGA,True
T15,4440,21,DOMESTICO,True
Terminal M,1026,35,DOMESTICO,True
T6,81,50,CARGA,True
T22,1892,49,DOMESTICO,True
Terminal S,1407,40,DOMESTICO,True
T26,2901,7,INTERNACIONAL,True
T31,507,49,INTERNACIONAL,True
T31,4224,7,MISTO,True
T9,2633,21,INTERNACIONAL,False
T12,3803,23,CARGA,True
T12,3842,9,MISTO,True
Terminal M,2838,34,INTERNACIONAL,True
Terminal Z,2003,50,INTERNACIONAL,True
T6,1817,47,CARGA,True
T33,2724,49,MISTO,True
T23,4143,27,DOMESTICO,True
Terminal X,479,23,DOMESTICO,True
T29,3128,29,DOMESTICO,True
T20,4716,3,MISTO,True
Terminal K,3495,5,CARGA,True
T22,3357,24,INTERNACIONAL,True
T38,2087,19,DOMESTICO,True
Terminal I,2128,13,MISTO,False
Terminal Z,2130,38,CARGA,True
T1,4218,22,CARGA,True
Terminal I,44,37,INTERNACIONAL,False
T37,4208,8,CARGA,True
T45,4352,9,INTERNACIONAL,True
Terminal S,4766,32,DOMESTICO,True
T50,4145,38,INTERNACIONAL,True
T43,867,32,INTERNACIONAL,True
Terminal A,2724,8,DOMESTICO,True
T33,2966,28,DOMESTICO,True
T41,263,29,CARGA,True
Terminal Q,2617,10,CARGA,True
Terminal L,4892,23,INTERNACIONAL,True
Terminal V,1842,34,DOMESTICO,True
T30,3308,23,DOMESTICO,True
Terminal Z,4008,6,INTERNACIONAL,True
T12,3776,38,INTERNACIONAL,True
Terminal R,2672,47,CARGA,True
Terminal X,3496,24,MISTO,True
T29,4030,44,MISTO,True
Terminal Q,4249,22,CARGA,True
T18,3473,9,CARGA,True
T33,899,12,CARGA,True
T7,2702,36,INTERNACIONAL,True
Terminal L,4383,49,INTERNACIONAL,True
T17,1920,3,INTERNACIONAL,True
Terminal B,3296,47,CARGA,True
T28,4856,42,CARGA,True
T12,2471,29,MISTO,True
T43,2073,11,DOMESTICO,True
T2,4002,41,INTERNACIONAL,True
T17,1042,22,CARGA,True
Terminal F,2290,24,DOMESTICO,True
T18,534,6,INTERNACIONAL,True
T22,3107,5,CARGA,True
T47,3426,29,INTERNACIONAL,True
T12,2184,32,CARGA,True
Terminal L,2523,12,MISTO,True
T6,4249,18,DOMESTICO,False
T33,3020,10,CARGA,True
T21,3133,28,INTERNACIONAL,True
T28,350,33,DOMESTICO,True
T4,4972,15,CARGA,True
T33,3990,18,MISTO,True
T46,275,18,INTERNACIONAL,True
Terminal O,1000,35,INTERNACIONAL,True
Terminal B,451,15,MISTO,False
T17,2012,49,INTERNACIONAL,True
T37,929,14,INTERNACIONAL,True
T2,435,7,DOMESTICO,True
T11,3233,29,MISTO,True
T9,4109,32,CARGA,True
T42,3826,37,MISTO,True
T37,4101,41,MISTO,True
T36,4760,7,DOMESTICO,True
Terminal L,4906,31,MISTO,True
T23,444,39,INTERNACIONAL,True
T20,4679,8,DOMESTICO,True
Terminal R,1673,50,CARGA,True
T25,3259,35,CARGA,True
T48,4968,35,MISTO,True
T4,172,13,CARGA,True
Terminal H,2712,43,INTERNACIONAL,True
Terminal R,2596,18,DOMESTICO,True
Terminal F,1380,48,CARGA,True
Terminal M,3064,16,INTERNACIONAL,True
T11,4611,40,MISTO,True
T6,435,47,CARGA,True
Terminal D,579,36,MISTO,True
Terminal V,4647,50,CARGA,True
T1,2600,35,CARGA,True
Terminal I,3264,11,CARGA,True
Terminal T,3087,9,INTERNACIONAL,True
T26,2629,50,DOMESTICO,True
Terminal P,1857,24,INTERNACIONAL,True
Terminal Y,4196,45,MISTO,True
T50,4722,47,MISTO,True
Terminal W,544,5,DOMESTICO,True
T48,2718,4,MISTO,False
Terminal W,242,19,DOMESTICO,True
Terminal E,3696,15,CARGA,True
T6,1502,33,INTERNACIONAL,True
T13,1676,42,INTERNACIONAL,True
T31,2395,9,CARGA,True
Terminal U,3224,6,CARGA,True
T12,3843,48,INTERNACIONAL,True
Terminal W,4995,8,DOMESTICO,True
Terminal R,4056,33,MISTO,True
Terminal K,1093,47,MISTO,True
T18,3934,3,CARGA,True
T5,3456,7,INTERNACIONAL,True
T10,495,39,CARGA,True
T15,3439,7,CARGA,True
Terminal L,3944,19,MISTO,True
T15,3475,46,CARGA,True
Terminal U,3571,15,CARGA,True
T34,3675,8,CARGA,True
T48,540,39,INTERNACIONAL,True
Terminal L,4957,33,CARGA,True
Terminal A,3919,44,CARGA,True
Terminal Q,12,12,CARGA,True
Terminal U,3473,49,MISTO,True
T31,1500,34,MISTO,True
Terminal B,1,16,CARGA,True
T28,328,20,CARGA,True
T47,2790,21,DOMESTICO,True
T28,4428,36,MISTO,True
T37,4188,46,MISTO,True
Terminal W,1585,2,INTERNACIONAL,True
Terminal V,1157,26,CARGA,True
T1,210,32,MISTO,True
T43,4024,25,MISTO,True
T16,3167,15,DOMESTICO,True
T28,2136,20,INTERNACIONAL,False
Terminal O,4140,16,INTERNACIONAL,True
T33,2835,25,DOMESTICO,True
Terminal U,1132,28,CARGA,True
T22,1955,48,DOMESTICO,True
T22,2583,49,CARGA,True
T47,2347,11,CARGA,True
T7,1192,33,CARGA,True
T46,1651,11,DOMESTICO,True
Terminal H,576,5,INTERNACIONAL,True
T42,4306,45,CARGA,True
T50,3767,17,CARGA,True
T6,4941,44,INTERNACIONAL,True
T6,1664,34,INTERNACIONAL,True
T32,4318,29,INTERNACIONAL,True
T41,3265,39,INTERNACIONAL,True
T32,1006,15,CARGA,True
T23,840,24,INTERNACIONAL,True
T17,2044,4,CARGA,True
T5,4942,32,CARGA,True
Terminal R,2949,9,DOMESTICO,True
T7,4231,40,CARGA,False
T1,1614,20,INTERNACIONAL,True
Terminal H,2875,36,CARGA,True
T27,1264,44,CARGA,True
Terminal H,723,30,CARGA,True
T43,3640,28,CARGA,True
T36,1876,6,DOMESTICO,True
T20,372,43,CARGA,True
T39,3525,38,INTERNACIONAL,True
T2,2962,46,CARGA,True
Terminal U,3478,18,INTERNACIONAL,True
T5,454,17,INTERNACIONAL,True
T35,4556,33,INTERNACIONAL,True
T42,891,36,MISTO,True
T43,910,28,CARGA,True
T49,1157,21,DOMESTICO,True
T35,2985,13,MISTO,True
T45,1671,24,CARGA,True
T41,3251,22,DOMESTICO,False
T45,1146,45,MISTO,True
T20,4163,35,DOMESTICO,False
T40,4824,29,CARGA,True
Terminal U,4657,46,MISTO,True
Terminal C,2565,22,DOMESTICO,True
T14,236,34,CARGA,True
T37,2825,25,MISTO,True
T16,2352,17,CARGA,True
T25,4632,8,DOMESTICO,True
T31,4702,31,INTERNACIONAL,True
T29,1159,21,CARGA,True
T16,693,17,INTERNACIONAL,True
Terminal S,86,33,DOMESTICO,True
Terminal H,2977,32,CARGA,True
T30,3854,46,INTERNACIONAL,True
T15,318,8,MISTO,True
T23,4540,43,DOMESTICO,True
T41,3563,6,INTERNACIONAL,True
T38,308,23,DOMESTICO,True
Terminal K,3298,24,MISTO,True
T47,2838,16,INTERNACIONAL,True
T7,2117,22,MISTO,True
Terminal X,2775,15,INTERNACIONAL,True
T43,2488,41,MISTO,True
Terminal Y,688,41,MISTO,True
T26,3664,38,INTERNACIONAL,True
T5,425,37,DOMESTICO,True
T16,4783,39,DOMESTICO,True
T30,2861,40,MISTO,True
T30,107,15,CARGA,True
Terminal R,522,35,CARGA,True
Terminal O,4117,6,CARGA,True
T23,204,38,INTERNACIONAL,True
Terminal I,1191,19,MISTO,True
T41,3612,39,CARGA,True
T5,4721,2,INTERNACIONAL,True
T21,463,11,DOMESTICO,True
T16,388,26,DOMESTICO,True
Terminal N,1555,38,DOMESTICO,True
Terminal G,3346,18,MISTO,True
T47,4328,28,MISTO,True
Terminal I,4519,37,MISTO,True
T5,127,36,CARGA,True
T33,2522,6,INTERNACIONAL,True
T22,422,18,CARGA,True
Terminal E,3867,23,CARGA,True
Terminal D,1844,48,DOMESTICO,True
Terminal A,3216,39,MISTO,True
Terminal N,3206,25,DOMESTICO,True
T3,1135,23,DOMESTICO,True
T23,3072,29,DOMESTICO,True
Terminal D,2950,24,DOMESTICO,True
T22,2956,46,CARGA,True
T43,3971,38,INTERNACIONAL,True
T48,3902,46,INTERNACIONAL,True
T14,4931,33,MISTO,True
T47,1245,39,DOMESTICO,True
Terminal T,2668,7,CARGA,True
T50,150,9,DOMESTICO,True
T9,3462,33,DOMESTICO,True
Terminal X,2528,18,INTERNACIONAL,True
Terminal J,826,42,DOMESTICO,True
Terminal R,3413,17,CARGA,True
Terminal N,4524,16,INTERNACIONAL,False
T6,4402,8,MISTO,True
T6,1332,33,DOMESTICO,True
T2,3162,14,INTERNACIONAL,True
Terminal T,2165,25,CARGA,True
T25,4526,28,DOMESTICO,True
T45,2734,4,DOMESTICO,False
T46,2952,38,MISTO,True
T44,1764,9,MISTO,True
Terminal G,3052,7,MISTO,True
T17,4453,31,DOMESTICO,True
T36,405,31,MISTO,True
T11,874,35,DOMESTICO,True
T12,936,19,CARGA,True
T18,4888,18,DOMESTICO,True
Terminal A,292,28,MISTO,True
T25,1160,27,CARGA,True
T12,2966,22,MISTO,True
T3,3269,33,CARGA,True
T20,2954,41,DOMESTICO,True
T10,1873,20,INTERNACIONAL,True
Terminal N,4597,29,INTERNACIONAL,True
T9,3515,34,MISTO,True
T42,883,43,CARGA,True
Terminal U,3154,37,INTERNACIONAL,True
T43,2746,5,MISTO,True
Terminal L,1645,44,MISTO,True
Terminal J,1636,45,INTERNACIONAL,True
Terminal N,932,30,DOMESTICO,True
T12,4152,32,INTERNACIONAL,True
T48,3738,14,CARGA,True
T4,1440,41,DOMESTICO,True
Terminal J,3116,41,CARGA,True
T19,1394,35,MISTO,True
T9,4282,44,INTERNACIONAL,True
T38,2574,21,DOMESTICO,True
T32,2519,19,DOMESTICO,True
T36,1600,11,CARGA,True
T19,3991,28,MISTO,True
T48,4832,5,CARGA,True
T12,1990,18,INTERNACIONAL,True
T39,708,4,MISTO,True
Terminal J,2566,39,INTERNACIONAL,True
Terminal Q,3024,34,CARGA,True
T7,4483,2,DOMESTICO,True
T32,714,5,CARGA,True
T13,961,21,MISTO,True
T38,2011,46,MISTO,True
Terminal M,165,25,CARGA,True
T30,2262,45,DOMESTICO,True
Terminal J,2448,24,CARGA,True
T29,3893,35,MISTO,False
Terminal Z,727,19,DOMESTICO,True
Terminal I,4152,2,DOMESTICO,True
T22,4701,32,DOMESTICO,True
T19,2451,8,MISTO,True
T10,809,39,MISTO,True
