nome,descricao,peso_max_kg,dimensoes_max_cm,taxa_extra
MAO_PEQUENA,Bagagem do tipo mao pequena.,8.0,40x30x20,0.0
MAO_STANDARD,Bagagem do tipo mao standard.,10.0,55x35x25,0.0
MAO_GRANDE,Bagagem do tipo mao grande.,12.0,55x40x25,25.0
PORAO_PEQUENA,Bagagem do tipo porao pequena.,18.0,60x40x30,30.0
PORAO_STANDARD,Bagagem do tipo porao standard.,23.0,70x50x30,0.0
PORAO_GRANDE,Bagagem do tipo porao grande.,32.0,80x60x40,50.0
PORAO_EXTRA,Bagagem do tipo porao extra.,40.0,90x70x50,100.0
ESPECIAL_ESPORTIVA,Bagagem do tipo especial esportiva.,30.0,Variável,80.0
ESPECIAL_MUSICAL,Bagagem do tipo especial musical.,25.0,Variável,75.0
ESPECIAL_ANIMAL,Bagagem do tipo especial animal.,15.0,50x40x30,120.0
ESPECIAL_FRAGIL,Bagagem do tipo especial fragil.,20.0,60x50x40,60.0
OVERSIZED,Bagagem do tipo oversized.,50.0,100x80x60,200.0
CARGA_LEVE,Bagagem do tipo carga leve.,45.0,80x60x50,150.0
CARGA_PESADA,Bagagem do tipo carga pesada.,80.0,120x80x60,300.0
INFANTIL,Bagagem do tipo infantil.,10.0,45x35x20,0.0
DIPLOMATICA,Bagagem do tipo diplomatica.,32.0,70x50x35,0.0
TRIPULACAO,Bagagem do tipo tripulacao.,15.0,55x40x25,0.0
MEDICA,Bagagem do tipo medica.,20.0,50x40x30,0.0
DUTY_FREE,Bagagem do tipo duty free.,5.0,40x30x20,0.0
PRIORITARIA,Bagagem do tipo prioritaria.,32.0,70x50x30,35.0
MAO_PEQUENA_1,Variante 1 do tipo mao pequena.,15.63,40x30x20,1.19
MAO_STANDARD_1,Variante 1 do tipo mao standard.,18.36,55x35x25,0.0
MAO_GRANDE_1,Variante 1 do tipo mao grande.,14.82,55x40x25,33.66
PORAO_PEQUENA_1,Variante 1 do tipo porao pequena.,24.93,60x40x30,51.67
PORAO_STANDARD_1,Variante 1 do tipo porao standard.,21.05,70x50x30,46.76
PORAO_GRANDE_1,Variante 1 do tipo porao grande.,35.96,80x60x40,46.03
PORAO_EXTRA_1,Variante 1 do tipo porao extra.,46.76,90x70x50,142.34
ESPECIAL_ESPORTIVA_1,Variante 1 do tipo especial esportiva.,32.62,Variável,129.25
ESPECIAL_MUSICAL_1,Variante 1 do tipo especial musical.,25.43,Variável,68.75
ESPECIAL_ANIMAL_1,Variante 1 do tipo especial animal.,21.39,50x40x30,116.3
ESPECIAL_FRAGIL_1,Variante 1 do tipo especial fragil.,23.36,60x50x40,99.68
OVERSIZED_1,Variante 1 do tipo oversized.,55.47,100x80x60,244.75
CARGA_LEVE_1,Variante 1 do tipo carga leve.,43.59,80x60x50,145.37
CARGA_PESADA_1,Variante 1 do tipo carga pesada.,81.31,120x80x60,346.3
INFANTIL_1,Variante 1 do tipo infantil.,10.52,45x35x20,45.14
DIPLOMATICA_1,Variante 1 do tipo diplomatica.,35.7,70x50x35,0.0
TRIPULACAO_1,Variante 1 do tipo tripulacao.,14.28,55x40x25,31.39
MEDICA_1,Variante 1 do tipo medica.,26.97,50x40x30,25.38
DUTY_FREE_1,Variante 1 do tipo duty free.,8.6,40x30x20,29.13
PRIORITARIA_1,Variante 1 do tipo prioritaria.,34.98,70x50x30,71.84
MAO_PEQUENA_2,Variante 2 do tipo mao pequena.,7.26,40x30x20,27.82
MAO_STANDARD_2,Variante 2 do tipo mao standard.,12.66,55x35x25,45.64
MAO_GRANDE_2,Variante 2 do tipo mao grande.,19.13,55x40x25,71.39
PORAO_PEQUENA_2,Variante 2 do tipo porao pequena.,24.2,60x40x30,57.01
PORAO_STANDARD_2,Variante 2 do tipo porao standard.,30.02,70x50x30,0.0
PORAO_GRANDE_2,Variante 2 do tipo porao grande.,36.09,80x60x40,45.91
PORAO_EXTRA_2,Variante 2 do tipo porao extra.,45.78,90x70x50,140.72
ESPECIAL_ESPORTIVA_2,Variante 2 do tipo especial esportiva.,35.63,Variável,119.29
ESPECIAL_MUSICAL_2,Variante 2 do tipo especial musical.,26.94,Variável,86.88
