numero_voo,aeronave_id,aeroporto_origem_id,aeroporto_destino_id,data_partida,data_chegada,status_id,preco_base
AF5041,390,1863,837,2025-12-20 18:55:06+00:00,2025-12-21 00:57:40.533081+00:00,279,1084.57
QR1392,649,3475,2325,2025-07-25 13:45:02+00:00,2025-07-25 22:45:35.261780+00:00,508,1223.02
LA7820,2326,3128,1168,2026-04-18 05:50:10+00:00,2026-04-18 16:09:44.584620+00:00,883,2041.76
LA4871,1260,1514,1992,2025-09-15 03:41:18+00:00,2025-09-15 16:57:22.974051+00:00,285,1514.38
G34719,981,3653,4633,2025-10-28 01:22:18+00:00,2025-10-28 12:08:22.395778+00:00,896,1673.29
LA8111,1496,4365,3789,2026-05-31 06:31:50+00:00,2026-05-31 15:50:13.251657+00:00,95,63.07
AF8937,2513,858,339,2025-08-15 00:33:46+00:00,2025-08-15 10:27:40.891597+00:00,530,1738.92
BA8854,743,3036,4315,2025-07-16 00:47:17+00:00,2025-07-16 10:12:17.355658+00:00,460,2454.65
IB8153,2430,1958,3923,2025-11-18 22:39:40+00:00,2025-11-19 10:05:27.460958+00:00,913,680.15
UA2348,4905,505,46,2025-10-11 00:36:25+00:00,2025-10-11 02:06:21.358953+00:00,134,406.72
EK8952,3115,2941,2797,2026-02-02 15:45:37+00:00,2026-02-02 18:15:47.216947+00:00,388,2404.94
AF8245,677,1230,657,2025-12-03 10:47:20+00:00,2025-12-03 15:02:09.045697+00:00,199,1378.47
LH2112,2916,1031,3494,2025-06-16 00:42:05+00:00,2025-06-16 06:23:32.431693+00:00,738,938.38
QR9953,1312,910,1562,2025-06-23 04:26:59+00:00,2025-06-23 10:59:35.946321+00:00,999,835.9
EK4834,2071,4434,587,2026-02-03 18:13:43+00:00,2026-02-04 04:00:00.453987+00:00,89,2067.17
AA2306,4327,2567,1483,2025-12-28 20:39:06+00:00,2025-12-29 04:43:34.577523+00:00,746,471.89
QR3424,1848,1172,4143,2025-08-23 08:46:22+00:00,2025-08-23 10:25:27.170316+00:00,499,352.12
EK5005,2849,4948,1767,2025-07-11 00:23:19+00:00,2025-07-11 02:32:31.832582+00:00,354,2132.83
SQ5351,1422,2489,476,2025-06-28 07:33:09+00:00,2025-06-28 17:53:41.426284+00:00,616,474.96
G3247,3604,1970,4630,2026-01-02 07:16:30+00:00,2026-01-02 15:28:02.717201+00:00,801,1578.88
EK3347,277,2912,297,2026-03-19 13:47:46+00:00,2026-03-19 15:57:18.787301+00:00,732,728.57
DL4977,3749,4133,4299,2025-08-31 06:37:24+00:00,2025-08-31 20:13:32.377198+00:00,829,1032.9
AD9543,1157,2598,3815,2025-08-12 23:23:15+00:00,2025-08-13 13:12:33.580299+00:00,482,1373.73
LA1364,3087,4718,531,2025-12-04 13:36:34+00:00,2025-12-04 21:24:31.397522+00:00,656,245.74
JJ6620,4530,3555,1509,2025-08-08 19:47:28+00:00,2025-08-09 03:51:09.757705+00:00,667,434.93
AD6213,2155,133,3952,2025-08-14 18:50:09+00:00,2025-08-14 20:29:07.299159+00:00,842,1570.84
LH1660,3854,4352,2591,2025-09-05 07:57:18+00:00,2025-09-05 17:53:57.453779+00:00,840,1680.06
LH104,4313,574,3594,2026-05-20 05:57:46+00:00,2026-05-20 13:13:15.008837+00:00,92,1170.41
LH669,977,1084,78,2025-06-30 14:07:17+00:00,2025-07-01 02:22:31.289429+00:00,150,1949.4
G32857,1219,491,486,2026-03-05 16:05:36+00:00,2026-03-06 04:00:11.892566+00:00,548,867.41
AA7567,1702,4328,3958,2025-12-03 12:58:47+00:00,2025-12-03 14:46:34.060482+00:00,379,98.31
QR8454,3207,1360,4070,2025-10-11 04:16:50+00:00,2025-10-11 13:07:08.184440+00:00,613,374.13
BA9992,1543,4427,2139,2025-10-14 18:31:02+00:00,2025-10-15 06:54:29.358150+00:00,275,1012.77
AF3260,1714,4179,926,2026-03-25 18:59:50+00:00,2026-03-26 03:51:43.667703+00:00,223,1969.67
JJ3484,2355,1612,3375,2026-02-08 00:45:24+00:00,2026-02-08 02:59:40.793333+00:00,257,230.66
BA6692,2958,216,3104,2026-03-03 21:06:56+00:00,2026-03-04 02:59:48.329368+00:00,744,433.06
G3796,4785,3409,2920,2026-06-01 05:07:59+00:00,2026-06-01 14:31:22.750018+00:00,633,1615.11
QR2794,197,1275,53,2025-07-17 01:56:42+00:00,2025-07-17 12:59:47.831778+00:00,648,2160.7
AF7890,3287,2729,2637,2025-08-30 04:52:55+00:00,2025-08-30 12:27:08.941161+00:00,718,878.25
IB4792,4610,1870,1438,2025-09-21 00:54:57+00:00,2025-09-21 05:43:45.541219+00:00,657,1064.81
DL8301,1271,3741,1311,2026-01-04 17:44:58+00:00,2026-01-05 00:47:10.755580+00:00,54,986.81
AD8251,2159,3858,3113,2025-08-08 19:51:13+00:00,2025-08-09 01:06:52.318222+00:00,374,1380.72
SQ4213,3371,4906,1287,2025-12-12 20:12:05+00:00,2025-12-13 03:26:25.112253+00:00,529,792.41
LA2787,4436,4449,4125,2025-11-06 05:42:07+00:00,2025-11-06 15:20:41.592435+00:00,592,2419.96
EK1594,1246,3938,1284,2026-05-30 08:21:44+00:00,2026-05-30 12:22:59.724239+00:00,919,387.17
BA1594,2474,2233,2837,2026-03-29 16:07:31+00:00,2026-03-29 20:46:18.464982+00:00,237,1064.12
QR8122,4430,1852,1797,2026-03-05 11:53:53+00:00,2026-03-05 18:57:58.996113+00:00,359,521.05
AA3193,2483,1703,1630,2025-11-22 06:13:00+00:00,2025-11-22 13:00:00.735884+00:00,42,568.66
G3362,1766,4482,291,2026-02-14 19:30:02+00:00,2026-02-14 23:58:53.357353+00:00,411,1482.59
